Speed,Actual,Predicted,2,,,
48.54646018,115283.9194,86394.33,,,,
48.38398783,115925.7996,86948.305,,,,
48.28159569,116662.1998,87514.12,,,,
48.29639104,117406.4469,88098.81,,,,
48.37582965,118181.4295,88700.54,,,,
48.45326327,119002.8446,89310.78,,,,
48.4940542,119656.3819,89917.164,,,,
48.33268805,120354.3868,90506.48,,,,
47.76631637,120755.0835,91068.5,,,,
46.34015487,120880.2825,91600.77,,,,
44.58655973,120881.2031,92111.984,,,,
41.73237002,120881.2031,92619.11,,,,
38.94821626,120881.2031,93130.984,,,,
36.84935011,120881.2031,93639.1,,,,
35.28097345,120881.2031,94151.92,,,,
34.17685288,121244.9596,94683.984,,,,
33.75442478,121773.8182,95249.44,,,,
33.79756637,122519.5307,95858.19,,,,
33.95167312,123188.7027,96514.08,,,,
34.06768529,123887.8476,97216.44,,,,
34.31747788,124607.8468,97961.83,,,,
34.46591538,125247.9614,98744.42,,,,
34.64677821,125980.16,99556.43,,,,
34.77931416,126600.7174,100387.6,,,,
34.8924917,127311.5801,101224.734,,,,
34.98416759,127883.7165,102051.2,,,,
35.0282771,128532.0214,102846.65,,,,
35.02502765,129132.9683,103587.164,,,,
34.62126659,129646.2208,104247.12,,,,
31.66046737,129884.6806,104805.85,,,,
29.26673119,129964.7544,105262.43,,,,
27.07411504,130154.3675,105628.03,,,,
24.47801438,130405.1159,105915.18,,,,
21.67740597,130564.117,106151.4,,,,
18.65251659,130746.4994,106362.734,,,,
15.20443861,130900.1135,106569.52,,,,
11.09195243,131092.9939,106785.92,,,,
8.09056969,131242.8931,107021.75,,,,
5.387721239,131428.7665,107285.28,,,,
1.881014934,131630.0159,107582.38,,,,
0.082204093,131872.021,107917.29,,,,
0,132096.2767,108291.17,,,,
0,132330.486,108697.14,,,,
0,132534.9363,109123.13,,,,
0,132749.2373,109558.555,,,,
0,132943.4285,109994.55,,,,
0,133146.3534,110423.29,,,,
0,133353.7204,110837.87,,,,
0,133552.6141,111232.35,,,,
0,133750.6735,111601.98,,,,
0,133960.4209,111942.7,,,,
0,134144.661,112252.25,,,,
0,134368.2369,112530.31,,,,
0,134564.5214,112777.85,,,,
0,134775.6983,113000.08,,,,
0,134967.207,113206.38,,,,
0,135186.1787,113411.36,,,,
0,135374.6774,113636.85,,,,
0,135590.6706,113912.71,,,,
0,135788.9672,114276.38,,,,
0.984305863,136066.2918,114772.2,,,,
3.330959624,136519.7808,115425.6,,,,
6.750898783,137282.1269,116209.4,,,,
9.915237832,138289.0737,117060.23,,,,
13.62368639,139663.7362,117880.79,,,,
15.43839878,140526.2588,118610.75,,,,
15.37762721,140893.7507,119240.78,,,,
14.80123064,141193.0223,119780.99,,,,
14.30530973,141497.3219,120240.23,,,,
13.9957135,141819.4152,120622.17,,,,
13.86946903,142151.5402,120930.21,,,,
13.50290376,142454.9079,121163.34,,,,
11.35460454,142759.7551,121322.22,,,,
6.920146571,142968.2694,121425.02,,,,
3.003733407,143216.5065,121508.9,,,,
1.135577987,143434.8704,121607.78,,,,
0.019081858,143714.0651,121742.305,,,,
0,143945.8146,121919.81,,,,
0,144180.4056,122140.305,,,,
0,144356.3032,122397.71,,,,
0,144549.5257,122684.195,,,,
0,144741.8505,122991.44,,,,
0,144935.4299,123311.68,,,,
0,145141.2443,123638.055,,,,
0,145331.6233,123964.21,,,,
0,145533.19,124285.6,,,,
0,145721.9694,124598.98,,,,
0,145923.0275,124901.41,,,,
0,146131.2286,125189.57,,,,
0,146320.0979,125459.96,,,,
0,146534.7309,125709.67,,,,
0,146712.5897,125936.055,,,,
0,146943.1943,126137.54,,,,
0,147130.9968,126314.78,,,,
0,147344.7535,126472.19,,,,
0,147538.7064,126618.836,,,,
0,147753.9223,126770.91,,,,
0,147946.3075,126953.68,,,,
0.02855365,148183.5339,127200.375,,,,
1.261061947,148433.078,127553.336,,,,
2.771985619,148809.4956,128053.38,,,,
5.726769912,149416.1864,128718.63,,,,
8.920353982,150387.5152,129517.54,,,,
12.10965155,151502.1999,130397.2,,,,
15.73326881,152801.1626,131303.6,,,,
18.68881361,153974.7176,132211.62,,,,
20.10066372,154732.0658,133129.88,,,,
21.97345133,155752.0261,134053.16,,,,
24.29355642,156940.586,134955.48,,,,
26.62506914,158248.341,135795.36,,,,
28.95132743,159599.1813,136560.78,,,,
30.62479259,160643.7335,137284.2,,,,
31.27931416,161409.5561,137977,,,,
31.39677821,161978.5918,138646.9,,,,
31.42270465,162542.9335,139301.77,,,,
31.5,163142.5001,139949.03,,,,
31.53982301,163741.7147,140594.52,,,,
31.69150996,164439.6131,141242.06,,,,
31.75,165025.6757,141893.38,,,,
31.75,165701.8505,142549.36,,,,
31.73561947,166262.5364,143211.12,,,,
31.67381084,166861.6668,143880.3,,,,
31.62707412,167426.4587,144559.12,,,,
31.625,168029.0897,145250.22,,,,
31.625,168641.2394,145955.84,,,,
31.625,169224.3529,146677.84,,,,
31.625,169843.0696,147417.45,,,,
31.55862832,170420.2476,148174.9,,,,
31.5,170994.4374,148949.27,,,,
31.42920354,171537.0839,149737.62,,,,
31.25884956,172087.7441,150534.23,,,,
31.20996958,172635.4722,151329.62,,,,
31.06927544,173195.052,152109.17,,,,
30.96978706,173745.1009,152853,,,,
30.84955752,174321.2876,153536.39,,,,
29.46342644,174752.8939,154133.7,,,,
26.05731471,174973.152,154631.05,,,,
24.05842091,175005.9375,155035.05,,,,
22.16710454,175012.349,155353.4,,,,
20.35204646,175183.2796,155598.84,,,,
18.43667035,175577.77,155798.61,,,,
14.98306139,175792.3226,155968.19,,,,
10.49854812,175985.0065,156131.28,,,,
7.163647677,176152.9917,156307,,,,
4.564643252,176356.1821,156510.69,,,,
1.581512721,176571.0448,156750.88,,,,
0.041344027,176824.0762,157032.23,,,,
0,177054.3746,157354.28,,,,
0,177288.1684,157709.36,,,,
0,177499.7287,158087.14,,,,
