Speed,Actual,Predicted,2,,,
12.26994485,33049.17243,20532.164,,,,
10.17389706,33398.09559,20815.35,,,,
7.503308824,33909.06563,21044.398,,,,
5.598805147,34583.52243,21256.58,,,,
3.999816176,35243.91857,21475.973,,,,
1.167279412,35876.11379,21715.752,,,,
0.030882353,36485.20515,21981.416,,,,
0,37056.71691,22269.59,,,,
0,37579.9807,22578.35,,,,
0,38027.02518,22900.479,,,,
0,38409.44761,23222.32,,,,
0,38819.13787,23537.215,,,,
0,39243.47114,23841.78,,,,
0,39662.53125,24136.719,,,,
0,40058.21691,24424.027,,,,
0,40486.48732,24707.188,,,,
0,40895.85386,24990.14,,,,
0,41358.48989,25274,,,,
0,41767.24945,25561.006,,,,
0,42197.1193,25852.56,,,,
0,42628.83952,26151.13,,,,
0,43066.31893,26458.68,,,,
0,43515.90368,26777.7,,,,
0,43963.77243,27110.234,,,,
0,44399.6204,27456.129,,,,
0,44834.85754,27815.836,,,,
0,45298.73235,28185.22,,,,
0,45725.09007,28559.73,,,,
0,46147.64154,28930.896,,,,
0,46580.79632,29289.58,,,,
0,46999.03658,29624.148,,,,
0,47462.46268,29925.057,,,,
0,47865.2136,30192.336,,,,
0.11875,48133.17316,30449.953,,,,
1.879871324,48417.02279,30731.777,,,,
3.301470588,48708.50625,31079.89,,,,
4.619944853,49047.44945,31541.895,,,,
6.617555147,49643.53107,32141.082,,,,
9.218933824,50487.65938,32864.773,,,,
12.15634191,51463.34614,33657.62,,,,
15.05634191,52595.73401,34433.16,,,,
18.17049632,54020.78051,35161.695,,,,
20.5078125,55113.72371,35838.145,,,,
22.20441176,55910.33824,36482.766,,,,
23.31617647,56654.32316,37119.15,,,,
24.87720588,57746.25,37737.113,,,,
26.79007353,58923.23805,38294.734,,,,
28.61498162,60072.12996,38765.547,,,,
30.36056985,61134.22684,39221.676,,,,
31.62352941,62114.43676,39687.69,,,,
32.08529412,62709.87224,40163.684,,,,
32.06617647,63154.52574,40643.457,,,,
31.9,63533.20129,41122.266,,,,
31.65,63975.80699,41598.344,,,,
31.44705882,64391.46875,42072.08,,,,
31.23759191,64835.63805,42544.723,,,,
31.10735294,65312.18199,43017.367,,,,
30.93069853,65829.46765,43490.74,,,,
30.85,66286.25184,43965.426,,,,
30.70707721,66761.78713,44441.76,,,,
30.62637868,67244.24816,44920.01,,,,
30.625,67755.83364,45399.656,,,,
30.625,68304.33088,45879.367,,,,
30.625,68811.84779,46357.258,,,,
30.625,69305.71949,46831.56,,,,
30.625,69770.5579,47301.453,,,,
30.69264706,70343.90386,47766.516,,,,
