Speed,Actual,Predicted,Actual_Diff,Predicted_Diff
57,22783.157000000007,23857.5,429.06299999996554,396.47899999999936
57,23460.938000000024,24449.855,677.7810000000172,592.3549999999996
58,24197.313000000024,25309.348,736.375,859.4930000000022
59,24963.657000000007,26197.17,766.3439999999828,887.8219999999965
59,25144.876000000047,26754.996,181.21900000004098,557.8260000000009
59,25342.626000000047,27103.586,197.75,348.59000000000015
58,25532.563000000024,27381.82,189.93699999997625,278.2340000000004
58,25695.25,27660.31,162.68699999997625,278.4900000000016
58,25840.282000000007,27891.375,145.03200000000652,231.0649999999987
57,25984.188000000024,28083.637,143.90600000001723,192.2619999999988
57,26130.313000000024,28269.975,146.125,186.33799999999974
56,26307.157000000007,28453.578,176.84399999998277,183.6030000000028
56,26433.376000000047,28653.525,126.21900000004098,199.94700000000012
55,26625.313000000024,28871.93,191.93699999997625,218.40499999999884
55,26927.25,29117.04,301.93699999997625,245.11000000000058
55,27245.25,29338.871,318.0,221.8309999999983
54,27461.376000000047,29500.576,216.1260000000475,161.70500000000175
53,27714.813000000024,29631.111,253.43699999997625,130.53499999999985
53,28008.5,29744.959,293.68699999997625,113.84799999999814
52,28322.563000000024,29833.668,314.06300000002375,88.70900000000256
51,28545.876000000047,29915.996,223.31300000002375,82.3279999999977
49,28797.438000000024,30000.043,251.56199999997625,84.0470000000023
47,29076.376000000047,30076.1,278.93800000002375,76.05699999999706
46,29453.0,30143.332,376.6239999999525,67.23199999999997
45,29663.5,30212.28,210.5,68.94800000000032
43,29920.938000000024,30292.684,257.43800000002375,80.40400000000227
41,30188.34400000004,30381.484,267.40600000001723,88.79999999999927
39,30464.563000000024,30462.45,276.21899999998277,80.96600000000035
37,30650.5,30537.648,185.93699999997625,75.19800000000032
37,30881.626000000047,30638.844,231.1260000000475,101.19599999999991
36,31105.626000000047,30767.012,224.0,128.16799999999785
35,31365.25,30901.785,259.6239999999525,134.77300000000105
34,31546.876000000047,31029.36,181.6260000000475,127.57500000000073
33,31750.34400000004,31149.982,203.46799999999348,120.62199999999939
32,31966.75,31269.234,216.40599999995902,119.25200000000041
30,32185.376000000047,31394.775,218.6260000000475,125.54100000000108
29,32360.688000000024,31551.594,175.31199999997625,156.8189999999995
29,32542.813000000024,31781.77,182.125,230.17599999999948
29,32731.657000000007,32094.959,188.84399999998277,313.1889999999985
29,32950.12600000005,32400.023,218.46900000004098,305.0640000000021
29,33082.938000000024,32624.777,132.81199999997625,224.75399999999718
29,33184.46900000004,32810.375,101.53100000001723,185.59800000000178
29,33265.938000000024,33010.34,81.46899999998277,199.9649999999965
28,33474.688000000024,33351.88,208.75,341.5400000000009
29,33811.37600000005,34009.188,336.68800000002375,657.3080000000045
30,34342.563000000024,34873.03,531.1869999999763,863.8419999999969
31,34978.5,35823.715,635.9369999999763,950.6849999999977
33,35640.34400000004,36855.098,661.844000000041,1031.3830000000016
34,35903.313000000024,37733.598,262.96899999998277,878.5
35,36255.90700000001,38507.12,352.59399999998277,773.5220000000045
36,36581.06300000002,39203.21,325.15600000000995,696.0899999999965
36,36915.25,39832.445,334.1869999999835,629.2350000000006
37,37136.78200000001,40536.64,221.53200000000652,704.1949999999997
37,37407.18800000002,41312.33,270.40600000000995,775.6900000000023
38,37662.93800000002,42346.125,255.75,1033.7949999999983
39,37942.56300000002,43315.79,279.625,969.6650000000009
39,38129.5,43949.0,186.93699999998353,633.2099999999991
39,38375.75,44351.633,246.25,402.63300000000163
39,38595.96900000004,44773.117,220.21900000004098,421.48399999999674
39,38810.12600000005,45199.0,214.15700000000652,425.88300000000163
39,38960.15700000001,45633.92,150.03099999995902,434.91999999999825
39,39123.68800000002,46084.68,163.53100000000995,450.76000000000204
39,39284.25,46551.293,160.56199999998353,466.61299999999756
39,39468.81300000002,47030.92,184.56300000001647,479.6270000000004
39,39618.56300000002,47521.23,149.75,490.31000000000495
39,39945.25,48016.793,326.6869999999835,495.56299999999464
39,40277.68800000002,48507.684,332.4380000000165,490.89100000000326
39,40735.75,48995.168,458.0619999999835,487.48399999999674
39,41006.40700000001,49515.164,270.6570000000065,519.9959999999992
39,41377.0,50130.082,370.5929999999935,614.9180000000051
40,41747.37600000005,50858.6,370.3760000000475,728.5179999999964
40,42174.34400000004,51497.406,426.9679999999935,638.8060000000041
