speed,act_trip_fuel_cons,pred_trip_fuel_cons,act_diff_trip_fuel_cons,pred_diff_trip_fuel_cons,MAE,MSE,RMSE,MAPE,slope
5,17024.609000000004,13767.184,359.5310000000027,369.14157,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
6,17388.172000000002,14087.779,363.5629999999983,320.59573,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
5,17782.031000000003,14393.496,393.8590000000004,305.71658,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
4,18166.297000000002,14686.98,384.2659999999996,293.48438,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
3,18570.235,14973.592,403.9379999999983,286.61115,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
2,19003.000000000004,15256.024,432.76500000000306,282.43277,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
1,19396.438000000002,15546.127,393.4379999999983,290.10275,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,19706.094,15844.44,309.65599999999904,298.31342,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,19998.094,16141.655,292.0,297.21445,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,20251.203,16438.9,253.10900000000038,297.2449,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,20502.266000000003,16735.727,251.06300000000192,296.82553,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,20779.172000000002,17031.33,276.90599999999904,295.60355,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,21001.406000000003,17325.262,222.23400000000038,293.9307,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,21245.188000000002,17617.396,243.78199999999924,292.1346,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,21507.422000000002,17908.25,262.2340000000004,290.85272,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,21744.531000000003,18197.5,237.10900000000038,289.25052,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,22010.766000000003,18483.055,266.2350000000006,285.55533,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,22285.828,18769.438,275.0619999999981,286.3828,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,22517.750000000004,19089.678,231.9220000000023,320.24008,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,22773.688000000002,19580.85,255.93799999999828,491.17242,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
0,22974.141000000003,20453.535,200.45300000000134,872.6862,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
6,22974.141000000003,20994.77,0.0,541.23535,132.56362203663778,46391.042975968085,215.38580031183133,4.202598840718301e+16,0
