speed,act_trip_fuel_cons,pred_trip_fuel_cons,act_diff_trip_fuel_cons,pred_diff_trip_fuel_cons,MAE,MSE,RMSE,MAPE,slope
4,10635.077999999998,9414.832,345.98399999999674,418.24658,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
6,10939.984999999997,9761.733,304.90699999999924,346.9016,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
5,11269.469000000001,10087.761,329.484000000004,326.0274,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
4,11602.907000000003,10409.972,333.4380000000019,322.21124,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
3,11938.954000000002,10945.667,336.04699999999866,535.6953,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
5,12535.844000000001,11633.204,596.8899999999994,687.53754,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
8,13351.172000000002,12356.387,815.3280000000013,723.18256,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
11,13822.077999999998,12853.411,470.9059999999954,497.02478,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
12,14132.282000000003,13216.03,310.2040000000052,362.61887,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
10,14267.907000000003,13552.9,135.625,336.86984,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
8,14370.844000000001,13872.417,102.93699999999808,319.51645,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
7,14624.344000000001,14184.861,253.5,312.44473,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
6,14928.282000000003,14501.131,303.9380000000019,316.2692,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
5,15245.047000000002,14828.086,316.7649999999994,326.9553,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
5,15535.827999999998,15213.128,290.7809999999954,385.0423,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
6,16118.749999999996,15771.168,582.9219999999987,558.0396,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
8,17167.859999999997,16823.303,1049.1100000000006,1052.1356,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
12,19202.844,18701.125,2034.984000000004,1877.8229,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
18,23550.282000000003,22371.219,4347.438000000002,3670.0933,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
28,24057.313,23556.895,507.0309999999954,1185.6759,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
29,25190.344,25069.83,1133.0310000000027,1512.9347,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
32,26299.922000000002,26476.059,1109.5780000000013,1406.2278,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
34,26848.297000000002,27251.178,548.375,775.11993,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
34,27166.391,27707.453,318.0939999999973,456.2755,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
33,27166.391,28098.334,0.0,390.88016,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
32,27166.391,28704.758,0.0,606.4231,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
32,27428.891,29399.602,262.5,694.84296,218.21271808039495,111966.76336181744,334.61435020306203,1.3860180857842261e+17,-1.868131868
