Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Trip fuel consumption
244.4,632.4823529,2.754839729,0,0,144006.6954
245.1,640.1073529,2.371790269,0,0,144174.3884
245.9,641.3735294,2.433794807,0,0,144318.8274
246.7,643.4073529,2.364681468,0,0,144466.2406
247.5,651.5691176,2.35926011,0,0,144624.4033
248.3,650.7,2.318510168,0,0,144784.2498
249.1,654.2514706,2.312837489,0,0,144937.3807
249.9,662.8544118,2.248391544,0,0,145090.0849
250.6,662.6426471,2.269035788,0,0,145264.7875
251.4,661.6588235,2.238123277,0,0,145417.2188
252.2,656.6367647,2.258516199,0,0,145572.6219
252.9,656.7735294,2.274816176,0,0,145726.3233
253.7,659.9617647,2.262716854,0,0,145882.8432
254.5,664.575,2.238661822,0,0,146048.8594
255.3,661.0470588,2.248391544,0,0,146218.2189
256,656.2485294,2.26006003,0,0,146378.8978
256.8,661.3794118,2.261639763,0,0,146533.046
257.6,658.8632353,2.26242963,0,0,146690.4311
258.4,661.8323529,2.266594382,0,0,146855.2794
259.2,657.8794118,2.249396829,0,0,147022.0744
259.9,660.6411765,2.254710478,0,0,147189.5605
260.7,661.1779412,2.259449678,0,0,147355.0483
261.5,662.1382353,2.258264878,0,0,147514.898
262.3,659.2735294,2.258157169,0,0,147679.4875
263.1,655.0838235,2.276898552,0,0,147834.8846
263.8,677.425,2.317038143,0,0,148021.2415
264.6,668.7308824,2.848690257,0,0.017371324,148193.4596
265.4,696.525,3.311623966,0.176571117,1.075,148410.6673
266.2,769.0397059,4.421422622,10.75119916,2.268933824,148657.3042
267,1098.305882,8.157348633,18.43904383,3.896783088,149035.9551
267.8,1361.233824,9.927619485,20.77941895,6.723805147,149698.1754
268.6,1577.591176,11.6323673,21.93143957,9.177941176,150450.3585
269.4,1755.891176,13.92380658,23.75168744,11.71020221,151319.2176
270.2,1667.192647,14.5300293,24.65762868,14.67104779,152478.2645
270.9,1578.691176,11.90645106,18.97636862,17.44641544,153440.8
