Time,Speed,Accelerator pedal position,Throttle position,FC_avg_rate,Engine speed,Trip fuel consumption,slope
219,0.0,0.0,2.222219822,0.209088081,662.034292,133960.4209,0
220,0.0,0.0,2.207285113,0.203712666,656.0188053,134144.661,0
221,0.0,0.0,2.227432116,0.216995644,665.4004425,134368.2369,0
222,0.0,0.0,2.211417139,0.202969441,657.4070796,134564.5214,0
223,0.0,0.0,2.233292571,0.207688053,656.9402655,134775.6983,0
224,0.0,0.0,2.228377351,0.213089394,661.7311947,134967.207,0
225,0.0,0.0,2.211093059,0.208353498,660.6161504,135186.1787,0
226,0.0,0.0,2.236479363,0.210064643,657.7311947,135374.6774,0
227,0.0,0.0,2.189379667,0.212320243,661.2732301,135590.6706,0
228,0.0,0.005644402,2.737372744,0.243025788,629.5276549,135788.9672,0
229,0.984305863,8.399490762,4.018759938,0.383728567,712.7654867,136066.2918,0
229,3.330959624,16.71415346,7.941105935,0.75273956,1080.682522,136519.7808,0
230,6.750898783,21.02790765,9.719416526,0.910285882,1334.079646,137282.1269,0
231,9.915237832,24.49848546,14.03573635,1.401946211,1715.085177,138289.0737,0
232,13.62368639,15.33743259,11.53478032,1.068739629,1636.314159,139663.7362,0
233,15.43839878,4.995322438,5.345302345,0.384834762,1352.61615,140526.2588,0
234,15.37762721,3.481245463,3.757389035,0.299925678,1213.752212,140893.7507,0
235,14.80123064,4.087194932,3.824014579,0.30791102,1189.31969,141193.0223,0
236,14.30530973,4.450030031,4.041823666,0.329015141,1185.10177,141497.3219,0
237,13.9957135,5.187853248,4.25153074,0.332005324,1121.984513,141819.4152,0
238,13.86946903,4.570966062,4.409141878,0.344493225,1088.077434,142151.5402,0
239,13.50290376,0.0,3.898039961,0.307029522,1048.013274,142454.9079,0
240,11.35460454,0.0,3.107229587,0.233104605,910.0154867,142759.7551,0
241,6.920146571,0.0,2.900358217,0.221584624,719.8926991,142968.2694,0
242,3.003733407,0.0,2.863142976,0.250544455,650.965708,143216.5065,0
243,1.135577987,0.0,3.03620195,0.262911366,631.8230088,143434.8704,0
244,0.019081858,0.0,2.830572888,0.262876798,646.6637168,143714.0651,0
245,0.0,0.0,2.754576016,0.238238039,632.0254425,143945.8146,0
246,0.0,0.0,2.395197776,0.191328471,641.0674779,144180.4056,0
247,0.0,0.0,2.406513585,0.190706236,642.6338496,144356.3032,0
248,0.0,0.0,2.369703445,0.193402586,646.9767699,144549.5257,0
249,0.0,0.0,2.324197145,0.19812984,651.2632743,144741.8505,0
250,0.0,0.0,2.31652724,0.204680586,654.8252212,144935.4299,0
251,0.0,0.0,2.220977513,0.206823838,664.3761062,145141.2443,0
252,0.0,0.0,2.271696108,0.204870713,661.8882743,145331.6233,0
253,0.0,0.0,2.253952702,0.197161919,657.5929204,145533.19,0
254,0.0,0.0,2.27364059,0.208284361,656.6349558,145721.9694,0
255,0.0,0.0,2.252791413,0.210073285,660.1493363,145923.0275,0
256,0.0,0.0,2.236344329,0.21009057,663.0176991,146131.2286,0
257,0.0,0.0,2.267267008,0.204957135,658.9723451,146320.0979,0
258,0.0,0.0,2.259137989,0.208301645,659.9856195,146534.7309,0
259,0.0,0.0,2.266051706,0.214307937,660.6261062,146712.5897,0
260,0.0,0.0,2.255005963,0.20787818,660.7278761,146943.1943,0
261,0.0,0.0,2.255086983,0.204032425,657.7278761,147130.9968,0
262,0.0,0.0,2.257922687,0.21130047,661.4137168,147344.7535,0
263,0.0,0.0,2.258165748,0.210877005,662.2610619,147538.7064,0
264,0.0,0.0,2.262972941,0.204084278,654.9767699,147753.9223,0
264,0.0,0.0,2.29602915,0.221532771,669.5553097,147946.3075,0
265,0.02855365,0.0,2.782230884,0.262271847,671.0387168,148183.5339,0
266,1.261061947,1.622832982,3.367277162,0.327934873,709.5298673,148433.078,0
267,2.771985619,14.14200774,5.979959944,0.530385785,871.7245575,148809.4956,0
268,5.726769912,20.60371331,9.39771264,0.944500138,1286.095133,149416.1864,0
269,8.920353982,21.73154038,11.39342722,1.060987624,1552.900442,150387.5152,0
270,12.10965155,23.9843588,14.00764938,1.35285018,1726.253319,151502.1999,0
271,15.73326881,23.24294369,14.36470504,1.285899475,1686.391593,152801.1626,0
272,18.68881361,16.4272072,9.305808818,0.776816579,1486.117257,153974.7176,0
273,20.10066372,20.74471533,10.23878249,0.909248825,1585.664823,154732.0658,0
274,21.97345133,22.70461901,12.79939635,1.239465224,1736.248894,155752.0261,0
275,24.29355642,24.18809739,13.84868791,1.270421391,1916.950221,156940.586,0
276,26.62506914,25.51596312,14.91412948,1.35023161,1849.349558,158248.341,0
277,28.95132743,23.37411526,13.56360511,1.19781008,1491.469027,159599.1813,0
278,30.62479259,14.79000665,9.403140988,0.78386857,1571.103982,160643.7335,0
279,31.27931416,11.50861082,7.631933162,0.610368847,1601.97677,161409.5561,0
280,31.39677821,10.56167468,7.100252135,0.555594925,1609.125,161978.5918,0
281,31.42270465,10.98840764,7.279819725,0.586793072,1610.014381,162542.9335,0
282,31.5,11.40568826,7.423657443,0.634177959,1612.247788,163142.5001,0
283,31.53982301,11.5814209,7.544134359,0.65516109,1617.279867,163741.7147,0
284,31.69150996,11.5814209,7.573787723,0.662195796,1624.415929,164439.6131,0
285,31.75,10.62408717,7.1947486,0.616651687,1628.5,165025.6757,0
286,31.75,9.987052985,6.991739189,0.61529487,1628.426991,165701.8505,0
287,31.73561947,9.982299805,6.977128561,0.574538509,1626.464602,166262.5364,0
288,31.67381084,9.982299805,6.970673958,0.593361103,1623.673673,166861.6668,0
289,31.62707412,10.37681377,7.120345124,0.590820313,1620.558628,167426.4587,0
290,31.625,10.44006348,7.158316553,0.61815542,1620.540929,168029.0897,0
291,31.625,10.44006348,7.137224316,0.606773714,1621.026549,168641.2394,0
292,31.625,10.44006348,7.129959512,0.60107854,1620.502212,169224.3529,0
293,31.625,10.01605819,6.994574893,0.598235274,1620.52323,169843.0696,0
294,31.55862832,9.728517786,6.902211957,0.574961975,1617.756637,170420.2476,0
295,31.5,9.250688131,6.703199539,0.554307246,1614.086283,170994.4374,0
