Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE,slope
33,38194.76500000001,24420.438,984.3456,1638.375,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
34,39643.297000000006,25649.443,1229.0063,1448.5319999999992,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
36,40916.12500000001,26239.889,590.44495,1272.8280000000013,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
36,41505.109000000004,26716.645,476.75662,588.9839999999967,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
35,42693.703,27612.924,896.27844,1188.5939999999973,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
36,43651.906,28316.32,703.396,958.2030000000013,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
36,44306.718,28901.717,585.3964,654.8119999999981,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
36,45261.812000000005,29326.771,425.0547,955.0940000000046,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
35,46133.968,29934.799,608.0268,872.1559999999954,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
35,47220.359000000004,30518.432,583.6337,1086.3910000000033,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
35,48352.859000000004,30992.947,474.5154,1132.5,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
34,50131.078,31910.738,917.7919,1778.2189999999973,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
35,52198.562000000005,32978.707,1067.9679,2067.484000000004,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
36,54592.01500000001,34420.26,1441.5564,2393.4530000000013,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
38,56409.171,35883.758,1463.4952,1817.1559999999954,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
40,58335.828,36981.703,1097.9467,1926.6569999999992,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
41,60046.234000000004,37993.76,1012.0589,1710.4060000000027,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
42,60742.437000000005,38639.16,645.3997,696.2030000000013,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
42,62360.37500000001,39226.168,587.007,1617.938000000002,345.23166409094114,218828.96012744698,48.680277664517554,1.316425120773694
