Speed,Actual,Predicted_sum,Predicted,rate
4,33333.812999999995,25662.03,696.0346,589.9219999999987
7,33977.219,26342.572,680.5433,643.4060000000027
9,34894.297,27165.0,822.4281,917.0780000000013
12,35926.265999999996,27922.365,757.3653,1031.9689999999973
14,36281.515999999996,28564.363,641.9981,355.25
14,37321.812999999995,29411.377,847.0146,1040.2969999999987
16,38425.577999999994,30391.336,979.9585,1103.7649999999994
18,40013.985,31667.62,1276.2831,1588.4070000000065
21,41548.812999999995,33235.484,1567.8655,1534.827999999994
25,42987.140999999996,34759.664,1524.1797,1438.3280000000013
28,44395.687999999995,36045.74,1286.0752,1408.5469999999987
30,45491.765999999996,37058.68,1012.94116,1096.0780000000013
31,46198.077999999994,37855.508,796.8264,706.3119999999981
31,47220.235,38601.824,746.3155,1022.1570000000065
31,48393.515999999996,39350.91,749.0844,1173.2809999999954
31,49411.0,40100.96,750.0514,1017.484000000004
31,50445.452999999994,40848.664,747.70154,1034.452999999994
31,51539.469,41610.14,761.47644,1094.0160000000033
31,52506.952999999994,42450.52,840.3788,967.4839999999967
31,53545.827999999994,43458.418,1007.8993,1038.875
32,54621.937999999995,44184.84,726.4202,1076.1100000000006
32,55548.405999999995,44781.594,596.7544,926.4680000000008
31,56511.562999999995,45465.395,683.8008,963.1569999999992
31,57567.969,46196.902,731.5093,1056.4060000000027
31,58523.812999999995,46945.816,748.91547,955.8439999999973
31,59534.532,47770.273,824.45764,1010.7190000000046
31,60615.032,48761.5,991.2271,1080.5
32,61553.015999999996,49566.35,804.85046,937.9839999999967
32,62574.094,50318.375,752.023,1021.0780000000013
32,63627.672,51069.82,751.44653,1053.5780000000013
32,64568.765999999996,51825.68,755.8581,941.0939999999973
32,65563.156,52590.992,765.3116,994.3900000000067
32,66623.141,53357.434,766.443,1059.9850000000006
32,67579.266,54042.105,684.67206,956.125
32,68311.375,54570.043,527.93677,732.1089999999967
31,69128.625,55043.664,473.61978,817.25
29,69641.156,55499.68,456.0151,512.5310000000027
26,70095.438,55954.36,454.68024,454.28199999999197
24,70571.28199999999,56402.965,448.6055,475.8439999999973
21,70968.578,56847.92,444.95724,397.2960000000021
18,71310.25,57291.176,443.25537,341.67200000000594
15,71584.78199999999,57732.38,441.20328,274.53199999999197
