Actual,Predicted,MAE,MSE,MAPE,mae,mean_mae,last_error
14224.985,12893.824,99.67546,22994.727,27.35705077648163,0.09357907934525063,2.3039177384865996,1.751189228301123
16425.062,14565.924,99.67546,22994.727,27.35705077648163,0.11318910089958872,2.3039177384865996,1.751189228301123
18040.766,16081.209,99.67546,22994.727,27.35705077648163,0.10861828150755899,2.3039177384865996,1.751189228301123
18470.734,16986.455,99.67546,22994.727,27.35705077648163,0.0803584199739977,2.3039177384865996,1.751189228301123
18588.188,17353.88,99.67546,22994.727,27.35705077648163,0.06640281451855326,2.3039177384865996,1.751189228301123
19561.36,18219.521,99.67546,22994.727,27.35705077648163,0.06859640638483214,2.3039177384865996,1.751189228301123
20581.14,19289.676,99.67546,22994.727,27.35705077648163,0.06274987682898031,2.3039177384865996,1.751189228301123
21749.5,20468.547,99.67546,22994.727,27.35705077648163,0.058895744729763964,2.3039177384865996,1.751189228301123
23058.266,21785.52,99.67546,22994.727,27.35705077648163,0.05519695193038363,2.3039177384865996,1.751189228301123
24817.64,23295.512,99.67546,22994.727,27.35705077648163,0.061332503815834244,2.3039177384865996,1.751189228301123
25989.0,24824.795,99.67546,22994.727,27.35705077648163,0.04479606756704767,2.3039177384865996,1.751189228301123
27094.578,26224.686,99.67546,22994.727,27.35705077648163,0.03210575931464959,2.3039177384865996,1.751189228301123
28197.547,27694.82,99.67546,22994.727,27.35705077648163,0.017828749429870585,2.3039177384865996,1.751189228301123
29498.25,29074.414,99.67546,22994.727,27.35705077648163,0.014368174383226101,2.3039177384865996,1.751189228301123
30374.844,30370.691,99.67546,22994.727,27.35705077648163,0.00013672498202795926,2.3039177384865996,1.751189228301123
31260.328,30896.043,99.67546,22994.727,27.35705077648163,0.01165326864132711,2.3039177384865996,1.751189228301123
31305.375,31112.55,99.67546,22994.727,27.35705077648163,0.006159485391885602,2.3039177384865996,1.751189228301123
31555.75,31436.19,99.67546,22994.727,27.35705077648163,0.0037888498926503507,2.3039177384865996,1.751189228301123
31957.75,31961.625,99.67546,22994.727,27.35705077648163,0.00012125384296453911,2.3039177384865996,1.751189228301123
32549.406,32575.855,99.67546,22994.727,27.35705077648163,0.0008125801128291105,2.3039177384865996,1.751189228301123
33121.75,33167.184,99.67546,22994.727,27.35705077648163,0.0013717270373697376,2.3039177384865996,1.751189228301123
33792.562,33731.574,99.67546,22994.727,27.35705077648163,0.0018047758557045055,2.3039177384865996,1.751189228301123
34317.5,34243.656,99.67546,22994.727,27.35705077648163,0.002151788446127991,2.3039177384865996,1.751189228301123
34637.297,34628.047,99.67546,22994.727,27.35705077648163,0.00026705317103698943,2.3039177384865996,1.751189228301123
35047.562,34889.805,99.67546,22994.727,27.35705077648163,0.004501226076723905,2.3039177384865996,1.751189228301123
35249.28,35088.496,99.67546,22994.727,27.35705077648163,0.0045613413947745785,2.3039177384865996,1.751189228301123
35386.234,35258.473,99.67546,22994.727,27.35705077648163,0.00361047180098336,2.3039177384865996,1.751189228301123
35635.72,35413.55,99.67546,22994.727,27.35705077648163,0.0062344748471477,2.3039177384865996,1.751189228301123
35847.97,35561.617,99.67546,22994.727,27.35705077648163,0.007987983698937563,2.3039177384865996,1.751189228301123
36063.344,35705.26,99.67546,22994.727,27.35705077648163,0.009929306611167154,2.3039177384865996,1.751189228301123
36243.516,35848.86,99.67546,22994.727,27.35705077648163,0.01088900977487953,2.3039177384865996,1.751189228301123
36473.17,35991.645,99.67546,22994.727,27.35705077648163,0.013202170252818756,2.3039177384865996,1.751189228301123
36672.484,36131.785,99.67546,22994.727,27.35705077648163,0.014743997161468346,2.3039177384865996,1.751189228301123
36845.22,36273.88,99.67546,22994.727,27.35705077648163,0.01550648903711265,2.3039177384865996,1.751189228301123
37024.89,36426.92,99.67546,22994.727,27.35705077648163,0.016150486875180486,2.3039177384865996,1.751189228301123
37238.906,36587.07,99.67546,22994.727,27.35705077648163,0.017504166207245802,2.3039177384865996,1.751189228301123
37444.22,36746.08,99.67546,22994.727,27.35705077648163,0.018644800185449166,2.3039177384865996,1.751189228301123
37692.0,36925.906,99.67546,22994.727,27.35705077648163,0.020325108776398104,2.3039177384865996,1.751189228301123
