Speed,Actual,Predicted_sum,Predicted,rate
55,57717.405999999995,58043.07,2331.3577,2274.3280000000013
57,59507.172,59749.906,1706.837,1789.7660000000033
58,61115.99999999999,61404.426,1654.5181,1608.827999999994
58,64760.01499999999,64454.34,3049.9143,3644.0149999999994
61,70645.812,69731.54,5277.202,5885.797000000006
66,73279.969,72123.85,2392.3118,2634.156999999992
67,75078.469,74204.586,2080.7354,1798.5
68,79668.32800000001,77425.07,3220.4873,4589.859000000011
71,81546.39,79622.79,2197.7153,1878.0619999999908
72,83459.906,81355.59,1732.8024,1913.5160000000033
72,86517.656,83736.9,2381.304,3057.75
74,88713.265,85356.664,1619.7671,2195.6089999999967
74,89133.984,86312.77,956.1131,420.7189999999973
73,90145.375,87255.29,942.5179,1011.3910000000033
72,91528.422,88671.45,1416.1602,1383.047000000006
72,93172.57800000001,90255.24,1583.792,1644.1560000000027
72,95195.75,92096.516,1841.2754,2023.1719999999914
73,97205.59300000001,93929.555,1833.0372,2009.843000000008
73,100156.562,96539.03,2609.475,2950.9689999999973
75,102008.95300000001,98980.08,2441.0432,1852.3910000000033
76,105118.984,101081.25,2101.1697,3110.030999999988
77,106685.765,102756.125,1674.8772,1566.7810000000027
77,108207.484,104487.92,1731.7986,1521.7189999999973
77,110964.297,106488.72,2000.7992,2756.813000000009
78,113219.70300000001,108062.88,1574.1631,2255.4060000000027
78,113763.172,109298.555,1235.6719,543.4689999999973
77,117434.64,111436.28,2137.725,3671.4679999999935
79,119276.219,113352.35,1916.0736,1841.578999999998
79,121558.265,116036.74,2684.3936,2282.046000000002
80,129751.57800000001,122896.44,6859.6943,8193.31300000001
84,132841.343,126039.91,3143.469,3089.7649999999994
85,134602.797,127598.34,1558.4377,1761.453999999998
85,136567.20299999998,129309.81,1711.4672,1964.4059999999881
85,139312.88999999998,131499.48,2189.6682,2745.6870000000054
86,141585.672,133533.75,2034.2665,2272.7820000000065
87,142540.734,134707.97,1174.2188,955.0620000000054
86,143741.156,135517.14,809.1671,1200.4219999999914
85,145829.71899999998,137217.23,1700.096,2088.5629999999946
85,148756.797,139814.7,2597.469,2927.0780000000086
86,151695.43699999998,143595.22,3780.5168,2938.639999999985
88,154839.06199999998,146624.47,3029.2573,3143.625
89,157628.359,148943.3,2318.8237,2789.2970000000205
90,159508.281,150708.52,1765.2151,1879.9219999999914
90,161408.781,152361.03,1652.5138,1900.5
90,163639.797,154026.81,1665.776,2231.0160000000033
90,165513.43699999998,155748.45,1721.6348,1873.6399999999849
90,167604.38999999998,157638.97,1890.5121,2090.9530000000086
90,170959.672,159956.73,2317.7727,3355.2820000000065
91,172720.45299999998,162282.17,2325.4336,1760.7809999999881
92,174711.93699999998,164149.55,1867.3704,1991.4839999999967
92,177394.70299999998,165914.81,1765.2646,2682.7660000000033
92,179359.656,167777.17,1862.3546,1964.9530000000086
92,181488.68699999998,169851.56,2074.3848,2129.030999999988
93,183684.75,171723.19,1871.6285,2196.0630000000237
93,185850.672,173472.05,1748.8652,2165.9219999999914
93,188381.172,175212.2,1740.1589,2530.5
93,190140.56199999998,176961.1,1748.8907,1759.3899999999849
93,192107.46899999998,178749.48,1788.3925,1966.9070000000065
93,194542.82799999998,180644.4,1894.9186,2435.3589999999967
93,197235.625,182760.22,2115.8167,2692.7970000000205
94,198877.81199999998,184663.56,1903.3407,1642.1869999999763
94,200732.01499999998,186440.31,1776.7573,1854.2030000000086
94,203632.625,188188.73,1748.4249,2900.610000000015
94,205018.125,189834.02,1645.285,1385.5
94,206327.96899999998,191048.73,1214.7225,1309.8439999999828
93,207612.43699999998,192243.61,1194.8708,1284.4679999999935
