time_bucket,time,trs_mt_gr_st\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,tq_imep_ref\CCP:1,sys_pps_pct\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,sys_iat\CCP:1,knck_ron_fac\CCP:1,sys_ect\CCP:1,time_to_heat
46.0,46.00510857,0,13.24169922,0.0,50.52734375,38.64746094,423.9375,0.0,19.8125,14.00585938,0.201568604,5.73425293,0.443359375,772.375,27051.25,29.6640625,1,29.640625,
47.0,47.0108476,0,13.20654297,0.0,50.77734375,39.33105469,433.125,0.0,22.0625,13.99462891,0.20513916,5.838012695,0.465820313,778.875,27347.59375,29.6171875,1,29.640625,
48.0,48.01155681,0,13.19482422,0.0,51.25,39.56298828,434.4375,0.0,24.375,14.06201172,0.206298828,5.908203125,0.458984375,775.25,27987.53125,29.6171875,1,30.0,
49.0,49.00235604,0,13.19482422,0.0,51.421875,39.78271484,437.4375,0.0,25.4375,13.98388672,0.207458496,5.657958984,0.470703125,784.375,28321.8125,29.671875,1,30.0,
50.0,50.0099748,0,13.19482422,0.0,51.3515625,39.91699219,439.25,0.0,25.875,13.98095703,0.2081604,5.682373047,0.461914063,771.625,28924.6875,29.6328125,1,30.0,
51.0,51.00274079,0,13.25341797,0.0,52.33203125,40.22216797,443.25,0.0,19.875,14.03857422,0.208587646,5.737304688,0.481445313,801.625,29232.79688,29.65625,1,30.421875,
52.0,52.00010665,0,13.26513672,0.0,50.21875,38.63525391,424.375,0.0,22.5,14.07470703,0.201477051,5.792236328,0.431640625,778.875,29864.84375,29.6328125,1,30.421875,
53.0,53.00081287,0,13.25341797,0.0,51.23828125,39.85595703,439.75,0.0,21.4375,14.06347656,0.207855225,5.764770508,0.481445313,800.0,30179.57813,29.6171875,1,30.421875,
54.0,54.0087419,0,13.25341797,0.0,51.05078125,39.50195313,435.0625,0.0,23.75,14.06347656,0.205993652,5.737304688,0.442382813,773.875,30810.26563,29.6015625,1,30.421875,
55.0,55.00563275,0,13.27685547,0.0,50.9765625,39.72167969,437.3125,0.0,20.6875,14.02783203,0.207122803,5.889892578,0.459960938,788.75,31126.98438,29.609375,1,30.90625,
56.0,56.00386263,0,13.22998047,0.0,52.55859375,40.8203125,450.1875,0.0,24.625,14.05419922,0.212890625,5.920410156,0.48046875,772.875,31461.89063,29.640625,1,30.90625,
57.0,57.00388121,0,13.28857422,0.0,52.19140625,40.44189453,446.125,0.0,20.625,14.03076172,0.210876465,5.990600586,0.465820313,784.25,32092.64063,29.625,1,30.90625,
58.0,58.00039978,0,13.25341797,0.0,52.8046875,40.90576172,450.5,0.0,26.875,13.99023438,0.213317871,5.810546875,0.46875,760.0,32397.625,29.6171875,1,31.359375,
59.0,59.01193831,0,13.30029297,0.0,52.0234375,43.53027344,481.1875,1.040649414,23.4375,14.01513672,0.227020264,9.582519531,0.486328125,802.875,33074.35938,29.640625,1,31.359375,
60.0,60.00555721,0,13.65283203,0.0,42.13671875,32.60498047,365.0,8.172607422,23.9375,14.16503906,0.170043945,8.633422852,0.44921875,1258.0,33580.4375,29.6953125,1,31.359375,
61.0,61.00643611,1,12.95458984,3.71875,76.53515625,62.68310547,703.25,12.79907227,76.0625,14.17919922,0.326873779,11.75231934,1.52734375,880.125,34478.45313,29.6328125,1,31.359375,
62.0,62.00022501,1,13.25341797,6.875,52.36328125,43.37158203,480.8125,14.71862793,38.5625,14.08544922,0.226165771,7.962036133,0.465820313,824.625,35026.46875,29.7421875,1,31.9375,
63.0,63.00545317,1,13.37207031,9.421875,56.20703125,43.70117188,499.0625,19.59533691,44.4375,14.16357422,0.227905273,9.002685547,0.762695313,1103.75,35365.5,29.6875,1,31.9375,
64.0,64.01613121,1,13.38378906,11.84375,45.328125,35.09521484,406.6875,20.2545166,30.9375,14.20410156,0.183013916,9.353637695,0.713867188,1388.0,36388.03125,29.7109375,1,31.9375,
65.0,65.00898926,1,13.50488281,13.625,44.859375,34.52148438,408.75,24.23400879,31.875,14.18701172,0.180053711,10.95581055,0.908203125,1613.125,36874.15625,29.6484375,1,32.546875,
66.0,66.00371912,1,13.97167969,15.25,28.34765625,20.36132813,235.5,0.0,-5.9375,14.14794922,0.106231689,6.600952148,0.453125,1644.875,38065.28125,29.6640625,1,32.546875,
67.0,67.00680937,2,13.35986328,15.125,58.25390625,48.21777344,531.9375,25.31433105,49.0625,14.18554688,0.251434326,10.22644043,0.901367188,992.0,38371.20313,29.5546875,1,32.546875,
68.0,68.00623966,2,13.35986328,17.3203125,67.96875,54.94384766,624.25,32.03125,62.8125,14.13378906,0.284179688,12.21008301,1.15234375,1093.5,39516.01563,29.890625,1,33.1875,
69.0,69.00531943,2,13.39599609,20.21875,65.046875,52.734375,607.625,32.03125,60.9375,14.15429688,0.275024414,13.19274902,1.049804688,1249.25,40280.64063,29.9765625,1,33.1875,
70.0,70.00004901,2,13.45605469,22.8203125,61.8671875,49.46289063,591.0625,32.03125,58.8125,14.17138672,0.257965088,13.25378418,1.151367188,1436.125,41794.53125,29.8671875,1,33.1875,
71.0,71.0060386,2,13.49267578,25.5390625,63.58984375,54.52880859,660.875,44.06738281,69.0625,14.18701172,0.286254883,16.65649414,1.688476563,1597.0,42608.45313,29.890625,1,33.1875,
72.0,72.00358781,2,13.62792969,29.8203125,78.2734375,66.27197266,800.0625,41.31774902,89.1875,14.18554688,0.345703125,25.18615723,2.168945313,1884.375,45381.32813,29.953125,1,33.9140625,
73.0,73.00309685,2,13.76611328,33.09375,46.328125,33.89892578,423.125,19.90356445,35.625,14.14941406,0.174468994,11.48986816,0.53125,2039.75,46530.76563,29.8984375,1,33.9140625,
74.0,74.00414589,2,14.02392578,32.6875,34.2265625,23.75488281,289.875,17.98706055,15.4375,14.21191406,0.12387085,9.701538086,0.650390625,2005.625,46952.39063,29.71875,1,33.9140625,
75.0,75.00416484,2,14.01123047,32.4765625,38.453125,27.42919922,340.0,22.4822998,23.0,14.18408203,0.143035889,10.74523926,0.908203125,2023.875,47956.98438,29.6484375,1,33.9140625,
76.0,76.00896375,2,14.01123047,32.75,38.296875,27.34375,337.8125,22.4822998,22.625,14.18701172,0.142608643,10.70251465,0.880859375,2027.875,48620.53125,29.6875,1,34.625,
77.0,77.00027266,2,14.02392578,32.8671875,36.9921875,26.48925781,326.6875,20.89538574,20.75,14.14013672,0.138122559,10.44921875,0.842773438,2025.75,49876.35938,29.7109375,1,34.625,
78.0,78.00072152,2,14.03710938,32.75,36.328125,25.67138672,314.75,19.96765137,19.125,14.19335938,0.133483887,9.869384766,0.8359375,2019.25,50467.09375,29.71875,1,34.625,
79.0,79.00219033,2,14.05029297,32.6875,36.26953125,25.53710938,314.75,19.94628906,18.8125,14.17431641,0.133666992,10.10131836,0.822265625,2024.75,51043.04688,29.75,1,35.3671875,
80.0,80.00058914,2,14.05029297,32.5078125,35.61328125,25.23193359,309.6875,19.30236816,18.3125,14.14941406,0.131652832,9.951782227,0.8125,2016.25,52155.98438,29.7890625,1,35.3671875,
