time,sys_iat\CCP:1,knck_ron_fac\CCP:1,hw_bat_vlt\CCP:1,sys_ect\CCP:1,Trip_fuel_consumption,afm_stk_flw\CCP:1,fmsp_af_sp\CCP:1,sys_eng_spd\CCP:1,tq_imep_ref\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,Vehicle_Speed,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_fc_avg_rate\CCP:1,Current_gear_shift_position_(Current_gear)
71.0104548,27.109375,1,14.11523438,33.2265625,43335.46875,0.143890381,14.01123047,1702.375,438.875,23.75,10.51330566,9.744262695,14.75,44.49609375,30.6640625,0.759765625,1
72.0108578,27.109375,1,14.11523438,33.2265625,43335.46875,0.120849609,13.90673828,1652.75,366.625,14.8125,10.2935791,8.453369141,16.375,38.59375,25.59814453,0.575195313,1
73.0104018,27.109375,1,14.11523438,33.2265625,43335.46875,0.128692627,13.95849609,1637.5,384.8125,16.9375,20.75500488,9.591674805,17.375,40.421875,27.63671875,0.735351563,1
74.0036628,27.109375,1,14.11523438,33.2265625,43335.46875,0.199310303,13.95849609,1869.75,618,45.875,25.56152344,14.70947266,19.8671875,58.0234375,42.16308594,1.352539063,1
75.0111088,27.15625,1,14.12158203,33.921875,45533.625,0.227508545,14.01123047,2220.75,714,57.3125,25.73547363,18.08166504,23.625,63.59375,48.4375,1.698242188,1
76.0146208,27.15625,1,14.12158203,33.921875,45533.625,0.22744751,13.95849609,1845.75,701.6875,57.5625,16.15600586,15.38696289,27.3671875,65.2265625,47.88818359,1.3203125,2
77.0095518,27.15625,1,14.12158203,33.921875,45533.625,0.14465332,14.06396484,1807.875,441.1875,24.5,14.22729492,10.27832031,29.375,45.08203125,30.74951172,0.6875,2
78.0048828,27.3984375,1,14.12451172,34.59375,49992.59375,0.139678955,14.09033203,1849.375,424.75,21.625,16.08886719,10.43395996,30.25,43.671875,29.65087891,0.810546875,2
79.0036928,27.3984375,1,14.12451172,34.59375,49992.59375,0.144287109,14.13037109,1931,443.1875,22.9375,13.46130371,10.57128906,31.375,45.1796875,30.92041016,0.811523438,2
80.0135818,27.2890625,1,14.09619141,35.2265625,52257.17188,0.137634277,14.06396484,1637.5,416.25,21.5625,13.28125,9.478759766,31.5,42.8671875,29.296875,0.727539063,3
81.0012538,27.2890625,1,14.09619141,35.2265625,52257.17188,0.146118164,14.09033203,1646.75,442.625,24.8125,15.59753418,10.18371582,31.875,44.953125,31.20117188,0.8125,3
82.0090558,27.265625,1,14.09619141,35.640625,53592.64063,0.146453857,14.09033203,1477.75,436.375,24.25,12.98217773,9.036254883,32.5,45.91796875,31.18896484,0.737304688,3
83.0087788,27.3203125,1,14.11523438,35.8984375,54402.29688,0.123901367,14.02392578,1493.75,369.25,16.375,6.616210938,7.849121094,32.875,40.0390625,26.52587891,0.591796875,3
84.0088808,27.3203125,1,14.11523438,35.8984375,54402.29688,0.118347168,13.99804688,1498,353.6875,14.3125,7.78503418,7.827758789,32.875,38.52734375,25.10986328,0.571289063,3
85.0105648,27.2578125,1,14.10742188,36.28125,55345.39063,0.120361328,14.01123047,1495.375,359.375,15,7.791137695,7.901000977,32.875,38.92578125,25.54931641,0.559570313,3
