time_bucket,time,time_to_heat,sys_ect\CCP:1,sys_veh_spd\CCP:1,fmsp_af_sp\CCP:1,sys_bst_t\CCP:1,hw_bat_vlt\CCP:1,sys_map\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,afm_stk_flw_pct\CCP:1,sys_bst_p\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,knck_ron_fac\CCP:1,sys_iat\CCP:1
56.0,56.00093977,,31.0703125,0.0,14.10351563,24.1171875,13.45263672,49.28125,0.198150635,493.6875,40.57617188,87.52734375,2.5625,0.0,6.533813477,0.537109375,980.375,40291.73438,1,24.078125
57.0,57.00154678,,31.265625,0.0,14.15673828,24.0859375,13.74658203,48.55859375,0.196624756,489.9375,40.25878906,87.41796875,1.1875,0.0,6.457519531,0.541015625,998.875,40951.40625,1,24.078125
58.0,58.00634465,,31.5546875,0.0,14.17041016,24.140625,13.76660156,49.0,0.196624756,487.125,40.25878906,87.55859375,1.5625,0.0,6.512451172,0.551757813,995.75,41313.98438,1,24.0859375
59.0,59.00321253,,31.7421875,0.0,14.2109375,24.1328125,13.74462891,48.76953125,0.193756104,482.875,39.67285156,87.48046875,0.75,0.0,6.427001953,0.540039063,1011.375,42045.20313,1,24.0859375
60.0,60.00075088,,32.015625,0.0,14.18359375,24.109375,13.78369141,49.078125,0.19619751,489.9375,40.17333984,87.5390625,1.0625,0.0,6.466674805,0.576171875,1009.125,42385.01563,1,24.0859375
61.0,61.00427086,,32.1953125,0.0,14.18359375,24.09375,13.68994141,48.875,0.195404053,487.125,40.00244141,87.48046875,1.1875,0.0,6.463623047,0.540039063,1004.0,43109.51563,1,24.109375
62.0,62.00515084,,32.5,0.0,14.19726563,24.1640625,13.82275391,49.03515625,0.195770264,486.8125,40.08789063,87.53125,0.9375,0.0,6.457519531,0.559570313,1001.375,43841.84375,1,24.109375
63.0,63.00286102,,32.7578125,0.0,14.19726563,24.1484375,13.80712891,48.7265625,0.194519043,490.9375,40.29541016,87.48828125,1.0625,0.0,6.512451172,0.55078125,1005.75,44211.98438,1,24.109375
64.0,64.00587193,,32.9453125,0.0,14.2109375,24.140625,13.73388672,49.02734375,0.195343018,486.625,39.99023438,87.52734375,0.8125,0.0,6.500244141,0.571289063,1013.125,44919.82813,1,24.1484375
65.0,65.00325282,,33.140625,0.0,14.18359375,24.1015625,13.71533203,49.625,0.19708252,488.0625,40.08789063,87.48828125,1.375,0.0,6.500244141,0.573242188,1007.25,45265.51563,1,24.1484375
66.0,66.00429386,,33.3515625,0.0,14.2109375,24.15625,13.79345703,48.8984375,0.192352295,478.75,39.37988281,87.67578125,0.8125,0.0,6.524658203,0.538085938,1011.25,45985.78125,1,24.1484375
67.0,67.00884542,,33.515625,0.0,14.2109375,24.109375,13.69628906,49.171875,0.194366455,483.625,39.79492188,87.51171875,0.875,0.0,6.466674805,0.567382813,1006.625,46329.73438,1,24.125
68.0,68.00502696,,33.625,0.0,14.18359375,24.1484375,13.70556641,49.265625,0.195617676,486.9375,40.05126953,87.43359375,1.375,0.0,6.524658203,0.559570313,999.375,47067.42188,1,24.125
69.0,69.00009861,,33.9296875,0.0,14.15673828,24.125,13.69482422,49.515625,0.191650391,477.8125,39.23339844,87.56640625,-9.5625,0.0,4.962158203,0.538085938,975.625,47455.17188,1,24.125
70.0,70.01104069,,34.03125,0.0,14.10351563,24.1640625,13.48681641,42.26171875,0.155426025,384.5,31.82373047,87.59375,1.5,0.0,3.939819336,0.313476563,841.5,48050.875,1,24.125
71.0,71.01072276,,34.2734375,1.625,14.09033203,24.15625,13.54785156,46.640625,0.180999756,449.75,37.06054688,87.46875,16.375,0.0,4.864501953,0.415039063,844.25,48276.53125,1,24.1640625
72.0,72.00110992,,34.40625,3.4921875,14.09033203,24.1796875,13.49951172,46.78515625,0.184906006,461.0625,37.85400391,87.46484375,20.375,9.204101563,5.447387695,0.399414063,856.75,48806.9375,1,24.1640625
73.0,73.00192709,,34.5703125,5.5,14.26513672,24.171875,13.61523438,54.95703125,0.229705811,589.9375,47.03369141,87.21484375,43.375,22.29919434,8.984375,0.7734375,1181.0,49121.45313,1,24.1640625
74.0,74.00197433,,34.765625,8.3671875,14.19726563,24.140625,13.51660156,65.67578125,0.26550293,692.9375,54.35791016,86.7421875,57.9375,23.41003418,13.65356445,1.212890625,1546.875,50231.98438,1,24.1484375
75.0,75.00483652,,34.96875,11.75,14.2109375,24.0703125,13.64013672,60.6796875,0.245758057,674.375,50.31738281,86.83203125,54.5625,24.66430664,15.06652832,1.422851563,1989.625,51008.14063,1,24.1484375
76.0,76.00366816,,34.96875,15.6171875,14.17041016,24.0,13.67626953,79.3203125,0.332183838,861.1875,68.01757813,86.50390625,80.0,28.59802246,24.36523438,1.953125,1766.25,52895.46875,1,24.1484375
77.0,77.0046298,,35.484375,19.4921875,14.22412109,24.0,13.76513672,60.359375,0.243499756,644.375,49.85351563,87.6171875,50.375,21.27990723,13.87939453,1.090820313,1870.0,54900.26563,1,24.0
78.0,78.01455149,,35.484375,21.875,14.29248047,23.953125,13.77294922,53.3515625,0.21005249,528.875,43.00537109,87.42578125,35.5625,18.81103516,11.24572754,0.909179688,1714.5,55598.10938,1,24.0
79.0,79.01508495,,35.7421875,23.25,14.29248047,23.96875,13.75585938,54.00390625,0.21673584,560.8125,44.37255859,87.125,38.75,22.52197266,12.31994629,1.1328125,1825.375,56837.84375,1,24.0
80.0,80.00759839,,35.7421875,25.0,14.22412109,23.9609375,13.66992188,59.9765625,0.244628906,672.8125,50.08544922,86.83203125,53.875,24.76806641,15.01159668,1.506835938,1991.0,57683.75,1,23.953125
81.0,81.00054183,,36.078125,27.625,14.22412109,23.9140625,13.66992188,61.1484375,0.256103516,669.4375,51.73339844,87.20703125,38.5625,25.38757324,15.33203125,1.33984375,1803.375,59607.92188,1,23.953125
82.0,82.00720042,,36.078125,29.625,14.19726563,23.9296875,13.71044922,69.1171875,0.276184082,728.9375,57.01904297,87.32421875,63.5625,22.99804688,14.21508789,1.303710938,1531.625,60504.6875,1,23.953125
83.0,83.00335681,,36.4453125,31.5,14.27880859,23.953125,13.76025391,54.76953125,0.214935303,550.5,44.23828125,87.61328125,38.5,16.67175293,10.42480469,0.84375,1619.375,62062.5625,1,23.953125
84.0,84.00839291,,36.4453125,32.125,14.31982422,23.90625,13.76220703,41.0234375,0.149871826,376.125,30.68847656,87.53125,15.0625,7.962036133,7.437133789,0.559570313,1647.5,62954.65625,1,23.953125
85.0,85.00575974,,36.7421875,32.0,14.30615234,23.96875,13.71679688,34.03125,0.122833252,301.3125,25.09765625,87.47265625,4.0625,6.51550293,6.369018555,0.482421875,1638.75,63269.26563,1,23.953125
86.0,86.009711,,36.9140625,31.75,14.30615234,24.015625,13.76513672,34.06640625,0.122283936,301.125,25.03662109,87.41796875,3.8125,8.514404297,6.387329102,0.506835938,1624.75,63894.59375,1,23.953125
87.0,87.00128224,,37.2265625,31.5,14.31982422,24.015625,13.74023438,36.5078125,0.133453369,327.375,26.97753906,87.44921875,8.125,8.847045898,6.860351563,0.571289063,1613.125,64239.75,1,23.9765625
88.0,88.0029317,,37.3984375,31.25,14.31982422,24.0234375,13.68066406,36.52734375,0.13381958,327.4375,27.39257813,87.49609375,8.3125,8.847045898,6.857299805,0.604492188,1603.625,65002.59375,1,23.9765625
89.0,89.00167074,,37.5703125,31.0,14.31982422,24.0390625,13.70898438,36.3828125,0.133026123,330.1875,27.23388672,87.60546875,8.8125,8.847045898,6.802368164,0.586914063,1589.0,65413.76563,1,23.9765625
90.0,90.00543978,,37.5703125,30.875,14.31982422,24.0546875,13.81494141,36.47265625,0.133239746,328.9375,27.28271484,87.55859375,8.875,8.847045898,6.802368164,0.624023438,1582.25,66166.65625,1,24.0546875
91.0,91.01255102,,37.84375,30.75,14.31982422,24.046875,13.71679688,36.3125,0.132904053,329.1875,27.20947266,87.44921875,9.125,9.530639648,6.96105957,0.599609375,1571.5,66573.28125,1,24.0546875
92.0,92.00975276,,38.0234375,30.625,14.31982422,24.0859375,13.80419922,38.15625,0.140655518,351.3125,28.86962891,87.375,12.1875,9.963989258,7.217407227,0.646484375,1573.25,67379.0,1,24.0546875
93.0,93.00491449,,38.0234375,30.625,14.31982422,24.125,13.65576172,37.95703125,0.13961792,350.0625,28.58886719,87.375,12.25,10.77880859,7.189941406,0.625976563,1563.875,67783.85938,1,24.0703125
94.0,94.00049661,,38.3046875,30.625,14.33349609,24.078125,13.74169922,38.78125,0.142608643,354.75,29.19921875,87.44140625,12.9375,9.619140625,7.266235352,0.647460938,1571.25,68629.1875,1,24.0703125
95.0,95.01511901,,38.4453125,30.625,14.33349609,24.109375,13.66210938,37.51171875,0.137512207,342.5,28.14941406,87.44921875,11.3125,9.619140625,7.052612305,0.62890625,1570.125,69453.20313,1,24.0703125
96.0,96.00097135,,38.59375,30.625,14.33349609,24.0703125,13.63720703,39.6171875,0.147094727,369.4375,30.28564453,87.296875,15.1875,12.74108887,7.699584961,0.671875,1564.875,69838.5625,1,24.125
97.0,97.00398373,,38.75,30.75,14.33349609,24.0859375,13.75732422,41.671875,0.153167725,383.375,31.40869141,87.375,17.5,11.82556152,7.678222656,0.670898438,1580.75,70733.70313,1,24.125
98.0,98.00110609,,38.90625,30.875,14.33349609,24.0625,13.68408203,40.21875,0.149383545,368.9375,30.57861328,87.41015625,15.3125,11.5447998,7.71484375,0.67578125,1578.25,71171.98438,1,24.125
99.0,99.01478849,,39.09375,31.0,14.33349609,24.109375,13.81835938,38.859375,0.141082764,352.0,28.88183594,87.3984375,13.0625,10.62316895,7.391357422,0.647460938,1590.125,72002.15625,1,24.125
100.0,100.0174514,,39.2421875,31.0,14.33349609,24.0703125,13.84179688,39.140625,0.144256592,360.4375,29.52880859,87.3046875,14.0,10.62316895,7.458496094,0.641601563,1587.5,72439.4375,1,24.0859375
101.0,101.0181647,,39.2421875,31.0,14.33349609,24.078125,13.79638672,38.9609375,0.142700195,355.8125,29.17480469,87.4453125,13.8125,10.62316895,7.424926758,0.666015625,1588.875,73272.45313,1,24.0859375
102.0,102.0115281,,39.421875,31.125,14.33349609,24.140625,13.82470703,38.9296875,0.141784668,352.9375,29.02832031,87.31640625,13.5625,10.62316895,7.458496094,0.663085938,1596.625,74068.71875,1,24.0859375
103.0,103.0027607,,39.421875,31.125,14.33349609,24.140625,13.80419922,38.828125,0.141693115,352.375,29.00390625,87.32421875,13.5625,10.62316895,7.443237305,0.625,1588.5,74477.01563,1,24.125
104.0,104.0079927,,39.65625,31.25,14.33349609,24.1171875,13.71191406,38.96875,0.141662598,354.0625,29.1015625,87.4453125,13.8125,10.62316895,7.437133789,0.631835938,1600.125,75303.71875,1,24.125
105.0,105.0014446,,39.8046875,31.25,14.33349609,24.109375,13.76025391,38.5625,0.140136719,348.4375,28.68652344,87.5,13.5625,10.2722168,7.424926758,0.615234375,1599.125,75731.8125,1,24.125
106.0,106.0062463,,39.9296875,30.875,14.33349609,24.1171875,13.86523438,32.6328125,0.119659424,295.1875,24.49951172,87.44921875,-15.6875,0.0,6.509399414,0.411132813,1556.875,76430.07813,1,24.1171875
107.0,107.0043878,,40.0546875,28.6328125,14.34716797,24.0859375,13.74462891,35.18359375,0.127227783,316.75,26.04980469,87.4765625,-25.9375,0.0,6.192016602,0.143554688,1466.75,76638.39063,1,24.1171875
108.0,108.0079992,,40.2109375,26.0,14.36083984,24.15625,13.77001953,33.1875,0.123474121,309.375,25.50048828,87.5078125,-30.6875,0.0,5.413818359,0.0,1327.75,76719.64063,1,24.1171875
109.0,109.00341,,40.296875,23.375,14.36083984,24.203125,13.72314453,33.4609375,0.122619629,304.0625,25.09765625,87.6171875,-31.6875,0.0,4.592895508,0.0,1187.875,76719.64063,1,24.15625
110.0,110.0036899,,40.4296875,19.5,14.26513672,24.2109375,13.62304688,31.34375,0.108703613,268.25,22.25341797,87.62890625,-10.0,0.0,2.786254883,0.360351563,834.25,76882.71875,1,24.15625
111.0,111.0008999,,40.53125,16.625,14.27880859,24.2734375,13.70263672,29.30859375,0.094818115,233.5625,19.37255859,87.58984375,-7.75,0.0,2.008056641,0.233398438,756.5,77112.23438,1,24.15625
112.0,112.0005801,,40.6328125,14.75,14.29248047,24.2734375,13.61962891,29.3828125,0.092193604,230.625,19.20166016,87.54296875,-9.4375,0.0,1.7578125,0.21484375,744.5,77423.17188,1,24.15625
113.0,113.0023904,,40.765625,12.125,14.29248047,24.2890625,13.62744141,28.0390625,0.086486816,215.5,17.93212891,87.58984375,-10.0625,0.0,1.583862305,0.176757813,696.875,77548.90625,1,24.203125
114.0,114.0123907,,40.8515625,9.25,14.29248047,24.3203125,13.73681641,30.34765625,0.094940186,233.5625,19.43359375,87.54296875,-6.375,0.0,1.528930664,0.182617188,632.875,77793.6875,1,24.203125
115.0,115.0075518,,40.9375,5.375,14.23779297,24.28125,13.67773438,38.3828125,0.134185791,329.1875,27.46582031,87.62890625,-1.9375,0.0,2.713012695,0.280273438,602.0,77917.67188,1,24.203125
116.0,116.0026237,,41.0078125,1.625,14.22412109,24.3671875,13.57470703,40.4296875,0.140472412,344.9375,28.75976563,87.55078125,5.8125,0.0,2.865600586,0.259765625,588.625,78242.64063,1,24.3046875
117.0,117.0089656,,41.1015625,0.0,14.26513672,24.3828125,13.73535156,36.140625,0.120269775,296.3125,24.62158203,87.58984375,-1.625,0.0,2.102661133,0.2109375,665.875,78575.3125,1,24.3046875
118.0,118.0038672,,41.2109375,0.0,14.26513672,24.328125,13.38867188,36.546875,0.12512207,307.375,25.61035156,87.60546875,1.75,0.0,2.655029297,0.192382813,596.25,78701.96875,1,24.3046875
119.0,119.0014985,,41.265625,0.0,14.26513672,24.3828125,13.57763672,35.47265625,0.116577148,286.9375,23.86474609,87.58984375,2.75,0.0,2.093505859,0.203125,658.625,78973.4375,1,24.390625
120.0,120.0022099,,41.34375,0.0,14.26513672,24.4453125,13.70410156,36.3984375,0.123260498,302.6875,25.23193359,87.52734375,5.375,0.0,2.416992188,0.220703125,632.75,79090.26563,1,24.390625
121.0,121.0059011,,41.40625,0.0,14.27880859,24.421875,13.54492188,34.29296875,0.112823486,277.625,23.09570313,87.48828125,3.125,0.0,2.02331543,0.196289063,650.75,79362.375,1,24.390625
122.0,122.0012323,,41.453125,0.0,14.26513672,24.4453125,13.54150391,36.6953125,0.120758057,296.875,24.71923828,87.53515625,3.75,0.0,2.157592773,0.245117188,667.125,79493.35938,1,24.4140625
123.0,123.0022735,,41.5390625,0.0,14.29248047,24.375,13.83398438,33.56640625,0.11114502,274.0625,22.75390625,87.62890625,3.5625,0.0,2.111816406,0.203125,665.5,79800.0625,1,24.4140625
124.0,124.0022947,,41.6015625,0.0,14.29248047,24.3984375,13.81054688,33.76171875,0.110992432,272.8125,22.71728516,87.60546875,3.6875,0.0,2.151489258,0.203125,653.25,79926.5,1,24.4140625
125.0,125.0035159,,41.6640625,0.0,14.29248047,24.453125,13.90576172,33.99609375,0.110687256,271.9375,22.65625,87.58984375,3.3125,0.0,2.1484375,0.204101563,665.5,80207.45313,1,24.4140625
126.0,126.003707,,41.734375,0.0,14.29248047,24.46875,13.81201172,33.6484375,0.111053467,273.5625,22.72949219,87.671875,3.5,0.0,2.114868164,0.1953125,663.75,80345.375,1,24.453125
