Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE,"c_FC_Dil_vec
[liter]",Ac,Acc
0,27347.59375,17826.602,367.9751,296.34375,260.2361751,127588.6507,36.91109304,0.000360228,360.228487,19545.69531
0,27987.53125,18194.21,367.60986,639.9375,260.2361751,127588.6507,36.91109304,0.000363572,363.5721372,19909.26745
0,28321.8125,18561.025,366.8145,334.28125,260.2361751,127588.6507,36.91109304,0.000357152,357.1523814,20266.41983
0,28924.6875,18927.541,366.51495,602.875,260.2361751,127588.6507,36.91109304,0.000352681,352.6807244,20619.10056
0,29232.79688,19294.242,366.70105,308.10938,260.2361751,127588.6507,36.91109304,0.000346899,346.8985638,20965.99912
0,29864.84375,19661.059,366.8157,632.04687,260.2361751,127588.6507,36.91109304,0.000343069,343.0687553,21309.06788
0,30179.57813,20029.057,367.99805,314.73438,260.2361751,127588.6507,36.91109304,0.000336301,336.3011138,21645.36899
0,30810.26563,20399.375,370.3174,630.6875,260.2361751,127588.6507,36.91109304,0.000330285,330.284544,21975.65353
0,31126.98438,20773.219,373.84442,316.71875,260.2361751,127588.6507,36.91109304,0.000326963,326.9627454,22302.61628
0,31461.89063,21151.15,377.93115,334.90625,260.2361751,127588.6507,36.91109304,0.000327288,327.2877317,22629.90401
0,32092.64063,21535.3,384.14963,630.75,260.2361751,127588.6507,36.91109304,0.000332714,332.7142488,22962.61826
0,32397.625,21930.21,394.911,304.98437,260.2361751,127588.6507,36.91109304,0.000328214,328.2135636,23290.83182
0,33074.35938,22348.182,417.97037,676.73438,260.2361751,127588.6507,36.91109304,0.000317313,317.313021,23608.14484
0,33580.4375,22826.303,478.12137,506.07812,260.2361751,127588.6507,36.91109304,0.000342651,342.651295,23950.79614
0,34478.45313,23548.836,722.5341,898.01563,260.2361751,127588.6507,36.91109304,0.00046091,460.9104304,24411.70657
3.71875,35026.46875,24313.486,764.65076,548.01562,260.2361751,127588.6507,36.91109304,0.000495739,495.7388334,24907.4454
6.875,35365.5,25100.31,786.8235,339.03125,260.2361751,127588.6507,36.91109304,0.000710176,710.1755248,25617.62093
9.421875,36388.03125,25940.602,840.29034,1022.53125,260.2361751,127588.6507,36.91109304,0.000854644,854.6438164,26472.26474
11.84375,36874.15625,26746.482,805.88104,486.125,260.2361751,127588.6507,36.91109304,0.00090437,904.370493,27376.63524
13.625,38065.28125,27493.545,747.06195,1191.125,260.2361751,127588.6507,36.91109304,0.000624267,624.266682,28000.90192
15.25,38371.20313,28093.658,600.1136,305.92188,260.2361751,127588.6507,36.91109304,0.000597892,597.8920634,28598.79398
15.125,39516.01563,28950.998,857.3405,1144.8125,260.2361751,127588.6507,36.91109304,0.000875689,875.688753,29474.48274
17.3203125,40280.64063,30165.16,1214.1616,764.625,260.2361751,127588.6507,36.91109304,0.001173844,1173.843799,30648.32653
20.21875,41794.53125,31509.377,1344.2163,1513.89062,260.2361751,127588.6507,36.91109304,0.001311073,1311.072721,31959.39926
22.8203125,42608.45313,33124.31,1614.9302,813.92188,260.2361751,127588.6507,36.91109304,0.001350703,1350.70293,33310.10219
25.5390625,45381.32813,35335.777,2211.4675,2772.875,260.2361751,127588.6507,36.91109304,0.001150941,1150.941463,34461.04365
29.8203125,46530.76563,37314.516,1978.7389,1149.4375,260.2361751,127588.6507,36.91109304,0.000951264,951.2637119,35412.30736
33.09375,46952.39063,38079.453,764.93933,421.625,260.2361751,127588.6507,36.91109304,0.000883785,883.7852118,36296.09257
32.6875,47956.98438,38709.85,630.39856,1004.59375,260.2361751,127588.6507,36.91109304,0.000865189,865.1894319,37161.282
32.4765625,48620.53125,39464.96,755.1082,663.54687,260.2361751,127588.6507,36.91109304,0.000830412,830.412394,37991.6944
32.75,49876.35938,40216.29,751.3286,1255.82813,260.2361751,127588.6507,36.91109304,0.000779202,779.2016393,38770.89604
32.8671875,50467.09375,40901.54,685.2482,590.73437,260.2361751,127588.6507,36.91109304,0.000768575,768.5751859,39539.47122
32.75,51043.04688,41571.645,670.1043,575.95313,260.2361751,127588.6507,36.91109304,0.000758587,758.5871647,40298.05839
32.6875,52155.98438,42218.156,646.5104,1112.9375,260.2361751,127588.6507,36.91109304,0.000748267,748.267342,41046.32573
32.5078125,52695.53125,42861.15,642.9915,539.54687,260.2361751,127588.6507,36.91109304,0.000755326,755.3259258,41801.65166
32.375,53753.5625,43503.83,642.6793,1058.03125,260.2361751,127588.6507,36.91109304,0.000754613,754.6132095,42556.26487
32.25,54310.90625,44138.215,634.38824,557.34375,260.2361751,127588.6507,36.91109304,0.00075481,754.8095932,43311.07446
32.09375,55381.40625,44776.055,637.8394,1070.5,260.2361751,127588.6507,36.91109304,0.000746221,746.2210039,44057.29546
32,56424.95313,45407.953,631.8983,1043.54688,260.2361751,127588.6507,36.91109304,0.000693503,693.5033045,44750.79877
31.875,56977.42188,46037.29,629.33527,552.46875,260.2361751,127588.6507,36.91109304,0.000664575,664.5746498,45415.37342
31.75,57556.8125,46675.05,637.7615,579.39062,260.2361751,127588.6507,36.91109304,0.000656569,656.5685423,46071.94196
31.6640625,58667.625,47336.14,661.08966,1110.8125,260.2361751,127588.6507,36.91109304,0.000649009,649.0089351,46720.95089
31.703125,59244.51563,48005.09,668.94794,576.89063,260.2361751,127588.6507,36.91109304,0.000644244,644.2441784,47365.19507
31.75,60453.73438,48676.17,671.0839,1209.21875,260.2361751,127588.6507,36.91109304,0.000634309,634.3086597,47999.50373
31.8359375,61054.64063,49342.87,666.699,600.90625,260.2361751,127588.6507,36.91109304,0.000639048,639.0484468,48638.55218
