Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE
0,11712.719,11786.481,352.20007,334.48499999999876,561.8919124422271,668612.0767259337,39.87021644986682
0,12086.531,12140.971,354.48972,373.8120000000017,561.8919124422271,668612.0767259337,39.87021644986682
0,12402.75,12476.762,335.79138,316.21899999999914,561.8919124422271,668612.0767259337,39.87021644986682
0,12956.188,12724.614,247.8527,553.4380000000001,561.8919124422271,668612.0767259337,39.87021644986682
0,13384.156,13041.09,316.4756,427.96800000000076,561.8919124422271,668612.0767259337,39.87021644986682
0,13927.172,13362.31,321.21933,543.0159999999996,561.8919124422271,668612.0767259337,39.87021644986682
0,14586.141,13773.679,411.36905,658.9689999999991,561.8919124422271,668612.0767259337,39.87021644986682
1,15350.875,14190.002,416.32315,764.7340000000004,561.8919124422271,668612.0767259337,39.87021644986682
2,15558.609,14563.572,373.5707,207.73400000000038,561.8919124422271,668612.0767259337,39.87021644986682
3,15841.953,14828.824,265.25183,283.34399999999914,561.8919124422271,668612.0767259337,39.87021644986682
0,16200.280999999999,15185.58,356.75543,358.3279999999995,561.8919124422271,668612.0767259337,39.87021644986682
0,16587.391,15547.54,361.96008,387.1100000000006,561.8919124422271,668612.0767259337,39.87021644986682
0,17215.609,15950.944,403.40472,628.2180000000008,561.8919124422271,668612.0767259337,39.87021644986682
1,17682.047,16309.944,359.0001,466.4379999999983,561.8919124422271,668612.0767259337,39.87021644986682
1,18163.422,16711.252,401.30737,481.375,561.8919124422271,668612.0767259337,39.87021644986682
2,18517.438,17052.357,341.10455,354.0159999999996,561.8919124422271,668612.0767259337,39.87021644986682
2,18856.516,17370.182,317.8246,339.07800000000134,561.8919124422271,668612.0767259337,39.87021644986682
1,19206.812,17719.29,349.10645,350.2960000000021,561.8919124422271,668612.0767259337,39.87021644986682
0,20168.969,18221.094,501.80515,962.1569999999992,561.8919124422271,668612.0767259337,39.87021644986682
2,20662.938,18808.982,587.88947,493.9689999999973,561.8919124422271,668612.0767259337,39.87021644986682
5,20885.969,19244.389,435.4055,223.03100000000268,561.8919124422271,668612.0767259337,39.87021644986682
6,21227.078,19669.53,425.1398,341.1090000000004,561.8919124422271,668612.0767259337,39.87021644986682
7,21538.969,20019.928,350.39893,311.8909999999996,561.8919124422271,668612.0767259337,39.87021644986682
7,21809.469,20320.291,300.36243,270.5,561.8919124422271,668612.0767259337,39.87021644986682
5,22101.234,20710.875,390.58353,291.7649999999994,561.8919124422271,668612.0767259337,39.87021644986682
5,22388.906,21140.062,429.18704,287.67199999999866,561.8919124422271,668612.0767259337,39.87021644986682
6,22685.031,21471.486,331.42294,296.125,561.8919124422271,668612.0767259337,39.87021644986682
4,22972.438,22023.525,552.0392,287.40699999999924,561.8919124422271,668612.0767259337,39.87021644986682
6,23258.109,22486.316,462.79123,285.6710000000021,561.8919124422271,668612.0767259337,39.87021644986682
6,23784.969,23196.828,710.5124,526.8600000000006,561.8919124422271,668612.0767259337,39.87021644986682
8,24996.984,24547.564,1350.7357,1212.0149999999994,561.8919124422271,668612.0767259337,39.87021644986682
14,27435.094,25958.32,1410.7568,2438.1100000000006,561.8919124422271,668612.0767259337,39.87021644986682
19,29932.797,27379.566,1421.2463,2497.7029999999977,561.8919124422271,668612.0767259337,39.87021644986682
24,30415.297,27971.893,592.3264,482.5,561.8919124422271,668612.0767259337,39.87021644986682
24,31229.062,28631.475,659.5811,813.765000000003,561.8919124422271,668612.0767259337,39.87021644986682
25,32289.766,29469.785,838.3096,1060.703999999998,561.8919124422271,668612.0767259337,39.87021644986682
27,33211.719,30201.627,731.8421,921.9529999999977,561.8919124422271,668612.0767259337,39.87021644986682
28,34511.375,31039.492,837.8653,1299.6560000000027,561.8919124422271,668612.0767259337,39.87021644986682
30,34946.0,31428.164,388.67264,434.625,561.8919124422271,668612.0767259337,39.87021644986682
29,35047.781,31740.762,312.5985,101.78100000000268,561.8919124422271,668612.0767259337,39.87021644986682
27,35047.781,32082.596,341.8346,0.0,561.8919124422271,668612.0767259337,39.87021644986682
26,35047.781,32344.273,261.67776,0.0,561.8919124422271,668612.0767259337,39.87021644986682
22,35047.781,32707.215,362.94223,0.0,561.8919124422271,668612.0767259337,39.87021644986682
20,36082.312,33340.914,633.6991,1034.5309999999954,561.8919124422271,668612.0767259337,39.87021644986682
21,37426.172,34529.99,1189.076,1343.8600000000006,561.8919124422271,668612.0767259337,39.87021644986682
23,39590.016,36576.82,2046.8335,2163.8440000000046,561.8919124422271,668612.0767259337,39.87021644986682
28,41262.281,37736.918,1160.097,1672.2649999999994,561.8919124422271,668612.0767259337,39.87021644986682
30,42140.562,38770.746,1033.8267,878.2809999999954,561.8919124422271,668612.0767259337,39.87021644986682
32,43203.031,39716.395,945.6468,1062.4690000000046,561.8919124422271,668612.0767259337,39.87021644986682
33,45728.062,41567.67,1851.2758,2525.0309999999954,561.8919124422271,668612.0767259337,39.87021644986682
37,47421.172,42829.703,1262.0308,1693.1100000000006,561.8919124422271,668612.0767259337,39.87021644986682
39,47858.109,43385.035,555.3326,436.9369999999981,561.8919124422271,668612.0767259337,39.87021644986682
38,49440.5,44456.08,1071.042,1582.3910000000033,561.8919124422271,668612.0767259337,39.87021644986682
40,50310.969,45203.008,746.9311,870.4689999999973,561.8919124422271,668612.0767259337,39.87021644986682
40,51851.266,46449.52,1246.5111,1540.297000000006,561.8919124422271,668612.0767259337,39.87021644986682
42,53426.938,47518.105,1068.5842,1575.6719999999987,561.8919124422271,668612.0767259337,39.87021644986682
43,55002.734,48889.426,1371.3214,1575.7959999999948,561.8919124422271,668612.0767259337,39.87021644986682
45,56793.75,50068.594,1179.1685,1791.0160000000033,561.8919124422271,668612.0767259337,39.87021644986682
46,58899.297,52103.156,2034.5619,2105.5469999999987,561.8919124422271,668612.0767259337,39.87021644986682
49,61641.141,54398.31,2295.1523,2741.8440000000046,561.8919124422271,668612.0767259337,39.87021644986682
52,65156.938,57084.957,2686.649,3515.7969999999987,561.8919124422271,668612.0767259337,39.87021644986682
55,71009.688,62662.855,5577.899,5852.749999999993,561.8919124422271,668612.0767259337,39.87021644986682
61,71171.375,63477.746,814.8921,161.68700000000536,561.8919124422271,668612.0767259337,39.87021644986682
