Speed,Actual,Predicted_sum,Predicted,rate,MAE,MSE,MAPE
7,14624.344000000001,14921.148,335.83728,253.5,241.52722928961563,127398.71647098793,65.1128179839125
6,14928.282000000003,15250.736,329.5883,303.9380000000019,241.52722928961563,127398.71647098793,65.1128179839125
5,15245.047000000002,15553.716,302.9793,316.7649999999994,241.52722928961563,127398.71647098793,65.1128179839125
5,15535.827999999998,16139.291,585.5748,290.7809999999954,241.52722928961563,127398.71647098793,65.1128179839125
6,16118.749999999996,16862.701,723.4107,582.9219999999987,241.52722928961563,127398.71647098793,65.1128179839125
8,17167.859999999997,18008.074,1145.3726,1049.1100000000006,241.52722928961563,127398.71647098793,65.1128179839125
12,19202.844,19923.576,1915.5018,2034.984000000004,241.52722928961563,127398.71647098793,65.1128179839125
18,23550.282000000003,23815.945,3892.3699,4347.438000000002,241.52722928961563,127398.71647098793,65.1128179839125
28,24057.313,24805.584,989.6387,507.0309999999954,241.52722928961563,127398.71647098793,65.1128179839125
29,25190.344,25946.73,1141.146,1133.0310000000027,241.52722928961563,127398.71647098793,65.1128179839125
32,26299.922000000002,26920.021,973.29095,1109.5780000000013,241.52722928961563,127398.71647098793,65.1128179839125
34,26848.297000000002,27468.81,548.7898,548.375,241.52722928961563,127398.71647098793,65.1128179839125
34,27166.391,27874.254,405.44266,318.0939999999973,241.52722928961563,127398.71647098793,65.1128179839125
33,27166.391,28294.977,420.72305,0.0,241.52722928961563,127398.71647098793,65.1128179839125
32,27166.391,28837.9,542.9233,0.0,241.52722928961563,127398.71647098793,65.1128179839125
32,27428.891,29392.137,554.23535,262.5,241.52722928961563,127398.71647098793,65.1128179839125
32,28229.969,29940.484,548.3468,801.0780000000013,241.52722928961563,127398.71647098793,65.1128179839125
32,28767.859999999997,30469.172,528.688,537.890999999996,241.52722928961563,127398.71647098793,65.1128179839125
32,28833.766,30920.553,451.38065,65.90600000000268,241.52722928961563,127398.71647098793,65.1128179839125
31,29376.077999999998,31626.92,706.367,542.3119999999981,241.52722928961563,127398.71647098793,65.1128179839125
32,30051.484999999997,32219.41,592.49036,675.4069999999992,241.52722928961563,127398.71647098793,65.1128179839125
32,30670.359999999997,32912.547,693.13525,618.875,241.52722928961563,127398.71647098793,65.1128179839125
33,31179.813,33347.016,434.4687,509.45300000000134,241.52722928961563,127398.71647098793,65.1128179839125
32,31179.813,33872.55,525.53595,0.0,241.52722928961563,127398.71647098793,65.1128179839125
32,31865.124999999996,34386.28,513.7312,685.3119999999981,241.52722928961563,127398.71647098793,65.1128179839125
32,32053.438,34791.098,404.81735,188.31300000000192,241.52722928961563,127398.71647098793,65.1128179839125
31,32053.438,35245.746,454.6483,0.0,241.52722928961563,127398.71647098793,65.1128179839125
31,32053.438,35514.742,268.99454,0.0,241.52722928961563,127398.71647098793,65.1128179839125
29,32053.438,35762.766,248.02264,0.0,241.52722928961563,127398.71647098793,65.1128179839125
25,32053.438,36179.594,416.82965,0.0,241.52722928961563,127398.71647098793,65.1128179839125
25,32053.438,36483.383,303.7885,0.0,241.52722928961563,127398.71647098793,65.1128179839125
23,32053.438,36872.55,389.16858,0.0,241.52722928961563,127398.71647098793,65.1128179839125
23,32053.438,37132.035,259.4854,0.0,241.52722928961563,127398.71647098793,65.1128179839125
20,32053.438,37478.066,346.03156,0.0,241.52722928961563,127398.71647098793,65.1128179839125
19,32053.438,37845.434,367.3677,0.0,241.52722928961563,127398.71647098793,65.1128179839125
18,32053.438,38276.93,431.4971,0.0,241.52722928961563,127398.71647098793,65.1128179839125
17,32725.547000000002,39078.418,801.48755,672.109000000004,241.52722928961563,127398.71647098793,65.1128179839125
19,33572.547000000006,39865.207,786.7907,847.0,241.52722928961563,127398.71647098793,65.1128179839125
20,35479.625,41373.793,1508.5865,1907.077999999994,241.52722928961563,127398.71647098793,65.1128179839125
24,37781.86,43534.664,2160.8708,2302.2350000000006,241.52722928961563,127398.71647098793,65.1128179839125
29,40919.57800000001,46529.652,2994.99,3137.718000000008,241.52722928961563,127398.71647098793,65.1128179839125
35,43763.235,49066.754,2537.1,2843.656999999992,241.52722928961563,127398.71647098793,65.1128179839125
