Speed,gear,Predicted_sum,Predicted
28.76264205,1.0,25872.705,946.4391
30.440808,2.0,26685.486,812.7819
31.3725802,2.0,27311.463,625.9766
31.59730114,3.0,27843.963,532.49994
31.546875,3.0,28381.26,537.2967
31.58469303,3.0,28932.549,551.2892
31.6254223,3.0,29487.068,554.5195
31.625,3.0,30043.17,556.1023
31.61901745,3.0,30601.951,558.78186
31.625,3.0,31160.916,558.9639
31.61338682,3.0,31721.36,560.44324
31.61936937,3.0,32282.328,560.96924
31.625,3.0,32841.984,559.65704
31.61434659,3.0,33403.363,561.3774
31.625,3.0,33966.387,563.0224
31.63626126,3.0,34530.688,564.3027
31.63851351,3.0,35100.582,569.89496
31.67578125,3.0,35674.23,573.64667
31.68918919,3.0,36252.707,578.4773
31.6426661,3.0,36850.023,597.318
31.5995214,3.0,37472.508,622.48425
31.53582489,3.0,38107.195,634.6886
31.47961648,3.0,38699.285,592.0886
31.39781527,3.0,39161.1,461.8165
30.93616273,3.0,39480.293,319.19092
29.25884956,3.0,39738.934,258.64142
26.37809685,4.0,39973.727,234.79436
23.06441886,4.0,40211.31,237.58272
20.66877815,4.0,40453.31,241.99992
18.33328555,3.0,40705.83,252.51978
15.43863636,3.0,40961.64,255.81065
12.21702157,3.0,41220.28,258.64093
8.720075335,2.0,41486.07,265.78873
5.368806306,1.0,41751.484,265.4138
1.297223772,0.0,42021.7,270.21466
0.0,0.0,42286.586,264.88834
0.0,0.0,42538.105,251.5196
0.0,0.0,42776.47,238.36285
0.0,0.0,43005.234,228.76456
0.0,0.0,43227.477,222.24393
0.0,0.0,43445.45,217.97264
0.0,0.0,43660.684,215.23293
0.0,0.0,43874.184,213.49855
0.0,0.0,44086.594,212.40979
0.0,0.0,44298.324,211.72943
0.0,0.0,44509.63,211.30318
0.0,0.0,44720.66,211.03145
0.0,0.0,44931.504,210.84566
0.0,0.0,45142.19,210.68883
0.0,0.0,45352.688,210.49474
0.0,0.0,45562.855,210.16856
0.0,0.0,45772.426,209.57054
0.0,0.0,45980.934,208.5072
0.0,0.0,46187.707,206.77437
0.0,0.0,46392.312,204.60515
0.0,0.0,46598.38,206.06738
0.0,0.0,46846.977,248.59572
1.03539823,0.0,47277.715,430.73834
4.685840708,1.0,47759.445,481.73242
6.638392857,1.0,48218.734,459.29068
7.97391183,1.0,48755.547,536.8128
9.685855263,1.0,49424.273,668.7253
11.85128097,1.0,50201.09,776.81604
14.16817801,1.0,51041.906,840.81696
16.61228693,1.0,51878.355,836.44806
18.56243086,1.0,52706.785,828.4301
20.26717342,1.0,53562.035,855.2495
22.20544764,1.0,54393.125,831.09033
23.67613636,2.0,55244.574,851.4475
25.2481333,2.0,56155.13,910.5531
26.80681818,2.0,57103.41,948.2824
28.0762583,2.0,58155.86,1052.448
29.46171171,2.0,59385.746,1229.8855
31.34072354,2.0,60745.65,1359.9038
33.42410714,3.0,62194.22,1448.57
