Speed,gear,Predicted_sum,Predicted
31.64076577,3.0,31434.553,564.84283
31.66303454,3.0,31999.654,565.10095
31.6722973,3.0,32564.375,564.7211
31.69315011,3.0,33125.766,561.3905
31.68701604,3.0,33685.266,559.5004
31.67947824,3.0,34245.953,560.6877
31.68798828,3.0,34807.47,561.51556
31.70453266,3.0,35367.86,560.39056
31.68268694,3.0,35935.21,567.3533
31.65987216,3.0,36521.574,586.36475
31.63521107,3.0,37139.555,617.9803
31.625,3.0,37791.434,651.8773
31.61036036,3.0,38453.875,662.4405
31.61877765,3.0,39051.176,597.2996
31.57805398,3.0,39487.203,436.0268
30.97060033,3.0,39781.965,294.76352
28.61099381,3.0,40036.215,254.24901
25.75142045,4.0,40272.63,236.4158
22.74239865,4.0,40509.367,236.74008
19.49026989,4.0,40751.348,241.98141
16.39581029,3.0,41006.67,255.32562
13.41138795,3.0,41266.867,260.19452
10.37345158,2.0,41535.184,268.31464
7.291274889,2.0,41805.625,270.44107
4.776686947,1.0,42074.875,269.24908
2.133657095,0.0,42337.883,263.00827
0.0,0.0,42597.023,259.1412
0.0,0.0,42845.438,248.41309
0.0,0.0,43081.816,236.37808
0.0,0.0,43309.32,227.50208
0.0,0.0,43530.754,221.43204
0.0,0.0,43748.195,217.44229
0.0,0.0,43963.08,214.88123
0.0,0.0,44176.34,213.26283
0.0,0.0,44388.59,212.25117
0.0,0.0,44600.215,211.62326
0.0,0.0,44811.45,211.23438
0.0,0.0,45022.44,210.9909
0.0,0.0,45233.273,210.83165
0.0,0.0,45443.98,210.70874
0.0,0.0,45654.55,210.5707
0.0,0.0,45864.89,210.34155
0.0,0.0,46074.793,209.90042
0.0,0.0,46283.855,209.0626
0.0,0.0,46491.42,207.56485
0.0,0.0,46696.574,205.15161
0.0,0.0,46899.133,202.56042
0.0,0.0,47109.164,210.02948
0.0,0.0,47430.32,321.1561
2.551060268,0.0,47926.695,496.3764
5.891741071,1.0,48426.35,499.65753
7.618017146,1.0,48934.29,507.9371
9.044176136,1.0,49566.473,632.18524
11.19335938,1.0,50323.863,757.3922
13.60421317,1.0,51139.254,815.3901
15.97767857,1.0,51958.3,819.0467
17.88727679,1.0,52804.355,846.0549
19.78844027,1.0,53696.566,892.2097
21.75085227,1.0,54610.38,913.8106
23.7168833,2.0,55534.723,924.3423
25.41743119,2.0,56503.684,968.96277
27.01477273,2.0,57549.523,1045.8396
28.49007601,2.0,58733.965,1184.442
30.29234096,2.0,60041.633,1307.6666
