time_bucket,time,time_to_heat,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,trs_mt_gr_st\CCP:1,sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1
303.0,303.0000138,,29.25,22.3828125,22.6796875,0,0.0,13.41992188,0.0,1,47.390625,34.00878906,718.625,-5.875,13.99023438,0.166137695,436.1875,4.940795898,0.3828125,87.95703125,32575.34375
304.0,304.0157415,,29.3046875,22.3828125,22.6796875,0,0.0,13.43212891,0.0,1,46.96484375,33.36181641,709.625,-6.0625,14.00244141,0.16293335,426.5625,4.742431641,0.37109375,88.08984375,32958.95313
305.0,305.005867,,29.4609375,22.3828125,22.734375,0,0.0,13.43212891,0.0,1,47.078125,33.60595703,697.375,-5.875,13.97753906,0.164123535,429.5,4.724121094,0.375,88.01953125,33317.09375
306.0,306.0004324,,29.59375,22.3828125,22.6875,0,0.0,13.44384766,0.0,1,46.80078125,33.38623047,694.125,-6.25,13.89794922,0.163085938,427.6875,4.629516602,0.37109375,87.97265625,33716.42188
307.0,307.0006509,,29.7421875,22.3828125,22.6796875,0,0.0,13.44384766,0.0,1,46.2109375,32.97119141,685.25,-6.125,13.93701172,0.161071777,422.25,4.516601563,0.36328125,87.97265625,34073.70313
308.0,308.0006939,,29.8125,22.3828125,22.6796875,0,0.0,13.44384766,0.0,1,46.40234375,32.77587891,682.625,-6.375,14.00439453,0.160095215,419.3125,4.479980469,0.37109375,87.97265625,34428.76563
309.0,309.0166972,,29.984375,22.3828125,22.765625,0,0.0,13.44384766,0.0,1,46.21875,32.78808594,674.25,-6.0,14.00439453,0.16015625,419.0625,4.388427734,0.349609375,87.90234375,34803.45313
310.0,310.0012097,,30.09375,22.3828125,22.7578125,0,0.0,13.45605469,0.0,1,45.9453125,32.48291016,662.875,-5.0625,13.99169922,0.158630371,415.3125,4.339599609,0.3359375,88.01953125,35141.9375
311.0,311.0017637,,30.1953125,22.3828125,22.7578125,0,0.0,13.45605469,0.0,1,46.30078125,32.66601563,650.625,-4.75,13.97900391,0.158599854,417.1875,4.156494141,0.334960938,87.97265625,35508.875
312.0,312.0013776,,30.3515625,22.3828125,22.7578125,0,0.0,13.45605469,0.0,1,45.9140625,32.44628906,648.25,-4.8125,13.88232422,0.158477783,414.8125,4.214477539,0.331054688,87.90234375,35861.98438
313.0,313.0016855,,30.53125,22.3828125,22.8046875,0,0.0,13.46826172,0.0,1,46.00390625,32.55615234,644.625,-4.6875,13.98388672,0.1590271,416.0,4.272460938,0.325195313,87.90234375,36196.39063
314.0,314.0051579,,30.65625,22.3828125,22.78125,0,0.0,13.46826172,0.0,1,45.890625,32.48291016,646.625,-4.6875,13.88525391,0.158630371,415.5625,4.159545898,0.321289063,87.98828125,36528.01563
315.0,315.0019601,,30.78125,22.3828125,22.78125,0,0.0,13.46826172,0.0,1,45.86328125,32.67822266,650.5,-4.6875,13.99023438,0.159606934,416.9375,4.263305664,0.333984375,87.95703125,36852.59375
