Speed,Actual,Predicted,2,,,
24.38965708,57346.88468,39230.207,,,,
26.6772677,58913.0531,40116.684,,,,
28.95706582,60241.60772,40881.785,,,,
31.0210177,61650.60329,41631.797,,,,
31.99336283,62518.52088,42375.812,,,,
32.07190265,63127.27378,43090.457,,,,
31.84955752,63633.81762,43759.816,,,,
31.57411504,64114.51632,44384.535,,,,
31.30088496,64710.87887,44976.117,,,,
31.11456029,65257.30199,45548.992,,,,
30.91689712,65913.01881,46115.594,,,,
30.7920354,66443.29231,46684.668,,,,
30.65203263,67104.94718,47261.16,,,,
30.625,67691.67575,47846.4,,,,
30.625,68377.30752,48438.227,,,,
30.625,68987.77876,49032.72,,,,
30.625,69623.71612,49627.19,,,,
30.67809735,70249.21834,50221.027,,,,
30.85619469,70950.90445,50813.11,,,,
30.94358407,71614.09264,51403.254,,,,
31,72242.08048,51995.74,,,,
31.03761062,72927.81886,52599.457,,,,
31.10985896,73535.53595,53224.832,,,,
31.14988938,74231.31485,53879.19,,,,
31.20381637,74827.99157,54560.32,,,,
31.25,75493.14076,55248.88,,,,
31.12894082,76088.35232,55905.023,,,,
30.10723175,76525.93874,56480.18,,,,
27.35259956,76701.66496,56946.88,,,,
24.75442478,76719.64063,57316.754,,,,
21.64180033,76729.74281,57609.2,,,,
18.42097622,76963.96322,57860.73,,,,
16.06208518,77225.13814,58119.7,,,,
13.9663302,77468.79231,58395.2,,,,
11.26603982,77640.1698,58662.16,,,,
8.331374447,77838.67298,58914.55,,,,
4.521086836,78037.18238,59165.67,,,,
1.201949668,78310.61186,59435.305,,,,
0.024681969,78552.10523,59733.184,,,,
0,78754.16759,60052.47,,,,
0,78969.63924,60390.8,,,,
0,79166.83117,60737.434,,,,
0,79384.2453,61088.395,,,,
0,79586.88675,61442.684,,,,
0,79805.54909,61796.902,,,,
0,79999.37279,62149.535,,,,
0,80202.16773,62502.168,,,,
0,80404.41814,62854.875,,,,
0,80576.80296,63209.887,,,,
0,80792.41662,63569.785,,,,
0,80975.30379,63934.938,,,,
0,81197.34859,64305.176,,,,
0,81381.69953,64679.14,,,,
0,81594.25747,65053.094,,,,
0,81794.35205,65419.906,,,,
0,81994.28844,65770.79,,,,
0,82208.60454,66094.98,,,,
0,82414.1203,66383.99,,,,
0,82628.57329,66638.17,,,,
0,82818.65169,66875.32,,,,
0.164477323,83058.38274,67140.984,,,,
1.503318584,83352.98783,67509.18,,,,
3.168487279,83808.13067,68040.516,,,,
6.62963219,84566.56305,68726.5,,,,
8.779867257,85475.43238,69504.87,,,,
10.73160951,86274.57218,70308.25,,,,
12.69365321,87341.04522,71041.14,,,,
14.70132743,88201.90072,71681.63,,,,
16.49557522,89157.80572,72317.734,,,,
18.3803927,90023.99558,73028.28,,,,
20.17284292,91026.92091,73829.62,,,,
22.09983407,91980.05738,74652.54,,,,
23.86144912,93163.9393,75388.46,,,,
25.52488938,94107.20617,76012.35,,,,
27.08476217,95170.78236,76663.125,,,,
28.61946903,96132.05973,77409.586,,,,
30.23990597,97238.1297,78274.91,,,,
31.82860896,98281.51162,79249.85,,,,
33.71059181,99540.00277,80294.96,,,,
35.75926438,100886.1081,81335.984,,,,
37.50331858,102175.4599,82278.945,,,,
38.98748617,103619.1088,83083.625,,,,
40.38779038,104870.717,83873.695,,,,
41.80565542,106309.7967,84781.766,,,,
43.64159292,107731.1181,85852.2,,,,
45.61386892,109525.122,87044.94,,,,
47.68846792,111130.4046,88245.69,,,,
49.15286228,112719.9092,89299.21,,,,
49.29728982,113533.1402,90082.42,,,,
49.09637721,114179.3211,90604.86,,,,
48.7680448,114651.1177,91016.195,,,,
